timestamp,command,result_param2,target_component,result,result_param1,target_system,from_external
1743177450041379,512,0,190,0,0,255,0
1743177450069379,512,0,190,0,0,255,0
1743177450113379,512,0,190,0,0,255,0
1743177450485379,401,0,190,0,0,255,0
1743177450537379,512,0,190,0,0,245,0
1743177451281379,512,0,190,2,0,255,0
1743177451881379,512,0,190,0,0,245,0
1743177452021379,512,0,190,2,0,255,0
1743177453025379,512,0,190,2,0,255,0
1743177454021379,512,0,190,2,0,255,0
1743177454529379,511,0,190,0,0,245,0
1743177454529379,400,0,190,0,0,245,0
1743177454541379,22,0,190,0,0,245,0
1743177455029379,512,0,190,2,0,255,0
1743177456025379,512,0,190,2,0,255,0
1743177457029379,512,0,190,2,0,255,0
1743177458489379,176,0,190,0,0,245,0
1743177459057379,512,0,190,2,0,255,0
1743177461021379,512,0,190,2,0,255,0
1743177571649379,21,0,190,0,0,245,0
1743177596501379,400,0,190,0,0,245,0
