timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
21726360000,32767,32767,32767,32767,32767,32767
21726364000,32767,32767,32767,32767,32767,32767
21726368000,32767,32767,32767,32767,32767,32767
21726372000,32767,32767,32767,32767,32767,32767
21726376000,32767,32767,32767,32767,32767,32767
21726380000,32767,32767,32767,-40,32767,32767
21726384000,32767,32767,32767,32767,32767,32767
21726388000,32767,32767,32767,32767,32767,32767
21726392000,32767,32767,32767,32767,32767,32767
21726396000,32767,32767,32767,32767,32767,32767
21726400000,32767,32767,32767,32767,32767,32767
21726404000,32767,32767,32767,32767,32767,32767
21726408000,32767,32767,32767,32767,32767,32767
21726412000,32767,32767,32767,32767,32767,32767
21726416000,32767,32767,32767,32767,0,32767
21726420000,32767,32767,32767,32767,32767,32767
21726424000,32767,32767,32767,32767,32767,32767
21726428000,32767,32767,32767,0,0,32767
21726432000,32767,32767,32767,32767,32767,32767
21726436000,32767,32767,32767,32767,32767,32767
21726440000,32767,32767,32767,32767,32767,32767
21726444000,32767,32767,32767,32767,32767,32767
21726448000,32767,32767,32767,32767,32767,32767
21726452000,32767,32767,32767,32767,32767,32767
21726456000,32767,32767,32767,32767,32767,32767
21726460000,32767,32767,32767,32767,32767,32767
21726464000,32767,32767,32767,32767,32767,32767
21726468000,32767,32767,32767,32767,32767,32767
21726472000,32767,32767,32767,32767,32767,32767
21726476000,32767,32767,32767,32767,32767,32767
21726480000,32767,32767,32767,32767,32767,32767
21726484000,32767,32767,32767,32767,32767,32767
21726488000,32767,32767,32767,32767,32767,32767
21726492000,32767,32767,32767,32767,32767,32767
21726496000,32767,32767,32767,32767,32767,32767
21726500000,32767,32767,32767,-40,32767,32767
21726504000,32767,32767,32767,32767,32767,32767
21726508000,32767,32767,32767,32767,32767,32767
21726512000,32767,32767,32767,32767,32767,32767
21726516000,32767,32767,32767,32767,32767,32767
21726520000,32767,32767,32767,32767,32767,32767
21726524000,32767,32767,32767,32767,32767,32767
21726528000,32767,32767,32767,32767,32767,32767
21726532000,32767,32767,32767,32767,32767,32767
21726536000,32767,32767,32767,32767,32767,32767
21726540000,32767,32767,32767,32767,32767,32767
21726544000,32767,32767,32767,32767,32767,32767
21726548000,32767,32767,32767,0,32767,32767
21726552000,32767,32767,32767,32767,32767,32767
21726556000,32767,32767,32767,32767,32767,32767
21726560000,32767,32767,32767,32767,0,32767
21726564000,32767,32767,32767,32767,32767,32767
21726568000,32767,32767,32767,32767,32767,32767
21726572000,32767,32767,32767,32767,0,32767
21726576000,32767,32767,32767,32767,32767,32767
21726580000,32767,32767,32767,32767,32767,32767
21726584000,32767,32767,32767,32767,32767,32767
21726588000,32767,32767,32767,32767,32767,32767
21726592000,32767,32767,32767,32767,32767,32767
21726596000,32767,32767,32767,32767,32767,32767
21726600000,32767,32767,32767,32767,32767,32767
21726604000,32767,32767,32767,32767,32767,32767
21726608000,32767,32767,32767,32767,32767,32767
21726612000,32767,32767,32767,32767,32767,32767
21726616000,32767,32767,32767,32767,32767,32767
21726620000,32767,32767,32767,0,32767,32767
21726624000,32767,32767,32767,32767,32767,32767
21726628000,32767,32767,32767,32767,32767,32767
21726632000,32767,32767,32767,32767,32767,32767
21726636000,32767,32767,32767,32767,32767,32767
21726640000,32767,32767,32767,32767,32767,32767
21726644000,32767,32767,32767,32767,32767,32767
21726648000,32767,32767,32767,32767,32767,32767
21726652000,32767,32767,32767,32767,32767,32767
21726656000,32767,32767,32767,32767,32767,32767
21726660000,32767,32767,32767,32767,32767,32767
21726664000,32767,32767,32767,32767,32767,32767
21726668000,32767,32767,32767,0,32767,32767
21726672000,32767,32767,32767,32767,32767,32767
21726676000,32767,32767,32767,32767,32767,32767
21726680000,32767,32767,32767,32767,32767,32767
21726684000,32767,32767,32767,32767,32767,32767
21726688000,32767,32767,32767,32767,32767,32767
21726692000,32767,32767,32767,32767,32767,32767
21726696000,32767,32767,32767,32767,32767,32767
21726700000,32767,32767,32767,32767,32767,32767
21726704000,32767,32767,32767,32767,0,32767
21726708000,32767,32767,32767,32767,32767,32767
21726712000,32767,32767,32767,32767,32767,32767
21726716000,32767,32767,32767,32767,0,32767
21726720000,32767,32767,32767,32767,32767,32767
21726724000,32767,32767,32767,32767,32767,32767
21726728000,32767,32767,32767,32767,32767,32767
21726732000,32767,32767,32767,32767,32767,32767
21726736000,32767,32767,32767,32767,32767,32767
21726740000,32767,32767,32767,0,32767,32767
21726744000,32767,32767,32767,32767,32767,32767
21726748000,32767,32767,32767,32767,32767,32767
21726752000,32767,32767,32767,32767,32767,32767
21726756000,32767,32767,32767,32767,32767,32767
21726760000,32767,32767,32767,32767,32767,32767
21726764000,32767,32767,32767,32767,32767,32767
21726768000,32767,32767,32767,32767,32767,32767
21726772000,32767,32767,32767,32767,32767,32767
21726776000,32767,32767,32767,32767,32767,32767
21726780000,32767,32767,32767,32767,32767,32767
21726784000,32767,32767,32767,32767,32767,32767
21726788000,32767,32767,32767,0,32767,32767
21726792000,32767,32767,32767,32767,32767,32767
21726796000,32767,32767,32767,32767,32767,32767
21726800000,32767,32767,32767,32767,32767,32767
21726804000,32767,32767,32767,32767,32767,32767
21726808000,32767,32767,32767,32767,32767,32767
21726812000,32767,32767,32767,32767,32767,32767
21726816000,32767,32767,32767,32767,32767,32767
21726820000,32767,32767,32767,32767,32767,32767
21726824000,32767,32767,32767,32767,32767,32767
21726828000,32767,32767,32767,32767,32767,32767
21726832000,32767,32767,32767,32767,32767,32767
21726836000,32767,32767,32767,32767,32767,32767
21726840000,32767,32767,32767,32767,32767,32767
21726844000,32767,32767,32767,32767,32767,32767
21726848000,32767,32767,32767,32767,0,32767
21726852000,32767,32767,32767,32767,32767,32767
21726856000,32767,32767,32767,32767,32767,32767
21726860000,32767,32767,32767,32767,32767,32767
21726864000,32767,32767,32767,-40,-40,32767
21726868000,32767,32767,32767,32767,32767,32767
21726872000,32767,32767,32767,32767,32767,32767
21726876000,32767,32767,32767,32767,32767,32767
21726880000,32767,32767,32767,32767,32767,32767
21726884000,32767,32767,32767,32767,32767,32767
21726888000,32767,32767,32767,32767,32767,32767
21726892000,32767,32767,32767,32767,32767,32767
21726896000,32767,32767,32767,32767,32767,32767
21726900000,32767,32767,32767,32767,32767,32767
21726904000,32767,32767,32767,32767,32767,32767
21726908000,32767,32767,32767,0,32767,32767
21726912000,32767,32767,32767,32767,32767,32767
21726916000,32767,32767,32767,32767,32767,32767
21726920000,32767,32767,32767,32767,32767,32767
21726924000,32767,32767,32767,32767,32767,32767
21726928000,32767,32767,32767,32767,32767,32767
21726932000,32767,32767,32767,32767,32767,32767
21726936000,32767,32767,32767,32767,32767,32767
21726940000,32767,32767,32767,32767,32767,32767
21726944000,32767,32767,32767,32767,32767,32767
21726948000,32767,32767,32767,32767,32767,32767
21726952000,32767,32767,32767,32767,32767,32767
21726956000,32767,32767,32767,32767,32767,32767
21726960000,32767,32767,32767,32767,32767,32767
21726964000,32767,32767,32767,32767,32767,32767
21726968000,32767,32767,32767,32767,32767,32767
21726972000,32767,32767,32767,32767,32767,32767
21726976000,32767,32767,32767,32767,32767,32767
21726980000,32767,32767,32767,0,32767,32767
21726984000,32767,32767,32767,32767,32767,32767
21726988000,32767,32767,32767,32767,32767,32767
21726992000,32767,32767,32767,32767,0,32767
21726996000,32767,32767,32767,32767,32767,32767
21727000000,32767,32767,32767,32767,32767,32767
21727004000,32767,32767,32767,32767,0,32767
21727008000,32767,32767,32767,32767,32767,32767
21727012000,32767,32767,32767,32767,32767,32767
21727016000,32767,32767,32767,32767,32767,32767
21727020000,32767,32767,32767,32767,32767,32767
21727024000,32767,32767,32767,32767,32767,32767
21727028000,32767,32767,32767,0,32767,32767
21727032000,32767,32767,32767,32767,32767,32767
21727036000,32767,32767,32767,32767,32767,32767
21727040000,32767,32767,32767,32767,32767,32767
21727044000,32767,32767,32767,32767,32767,32767
21727048000,32767,32767,32767,32767,32767,32767
21727052000,32767,32767,32767,32767,32767,32767
21727056000,32767,32767,32767,32767,32767,32767
21727060000,32767,32767,32767,32767,32767,32767
21727064000,32767,32767,32767,32767,32767,32767
21727068000,32767,32767,32767,32767,32767,32767
21727072000,32767,32767,32767,32767,32767,32767
21727076000,32767,32767,32767,32767,32767,32767
21727080000,32767,32767,32767,32767,32767,32767
21727084000,32767,32767,32767,32767,32767,32767
21727088000,32767,32767,32767,32767,32767,32767
21727092000,32767,32767,32767,32767,32767,32767
21727096000,32767,32767,32767,32767,32767,32767
21727100000,32767,32767,32767,32767,32767,32767
21727104000,32767,32767,32767,-40,32767,32767
21727108000,32767,32767,32767,32767,32767,32767
21727112000,32767,32767,32767,32767,32767,32767
21727116000,32767,32767,32767,32767,32767,32767
21727120000,32767,32767,32767,32767,32767,32767
21727124000,32767,32767,32767,32767,32767,32767
21727128000,32767,32767,32767,32767,32767,32767
21727132000,32767,32767,32767,32767,32767,32767
21727136000,32767,32767,32767,32767,0,32767
21727140000,32767,32767,32767,32767,32767,32767
21727144000,32767,32767,32767,32767,32767,32767
21727148000,32767,32767,32767,32767,32767,32767
21727152000,32767,32767,32767,-40,-40,32767
21727156000,32767,32767,32767,32767,32767,32767
21727160000,32767,32767,32767,32767,32767,32767
21727164000,32767,32767,32767,32767,32767,32767
21727168000,32767,32767,32767,32767,32767,32767
21727172000,32767,32767,32767,32767,32767,32767
21727176000,32767,32767,32767,32767,32767,32767
21727180000,32767,32767,32767,32767,32767,32767
21727184000,32767,32767,32767,32767,32767,32767
21727188000,32767,32767,32767,32767,32767,32767
21727192000,32767,32767,32767,32767,32767,32767
21727196000,32767,32767,32767,0,32767,32767
21727200000,32767,32767,32767,32767,32767,32767
21727204000,32767,32767,32767,32767,32767,32767
21727208000,32767,32767,32767,32767,32767,32767
21727212000,32767,32767,32767,32767,32767,32767
21727216000,32767,32767,32767,32767,32767,32767
21727220000,32767,32767,32767,32767,32767,32767
21727224000,32767,32767,32767,32767,32767,32767
21727228000,32767,32767,32767,32767,32767,32767
21727232000,32767,32767,32767,32767,32767,32767
21727236000,32767,32767,32767,32767,32767,32767
21727240000,32767,32767,32767,32767,32767,32767
21727244000,32767,32767,32767,32767,32767,32767
21727248000,32767,32767,32767,32767,32767,32767
21727252000,32767,32767,32767,32767,32767,32767
21727256000,32767,32767,32767,32767,32767,32767
21727260000,32767,32767,32767,32767,32767,32767
21727264000,32767,32767,32767,32767,32767,32767
21727268000,32767,32767,32767,32767,32767,32767
21727272000,32767,32767,32767,-40,32767,32767
21727276000,32767,32767,32767,32767,32767,32767
21727280000,32767,32767,32767,32767,32767,32767
21727284000,32767,32767,32767,32767,-40,32767
21727288000,32767,32767,32767,32767,0,32767
21727292000,32767,32767,32767,32767,32767,32767
21727296000,32767,32767,32767,32767,32767,32767
21727300000,32767,32767,32767,32767,32767,32767
21727304000,32767,32767,32767,32767,32767,32767
21727308000,32767,32767,32767,32767,32767,32767
21727312000,32767,32767,32767,32767,32767,32767
21727316000,32767,32767,32767,32767,32767,32767
21727320000,32767,32767,32767,-40,32767,32767
21727324000,32767,32767,32767,32767,32767,32767
21727328000,32767,32767,32767,32767,32767,32767
21727332000,32767,32767,32767,32767,32767,32767
21727336000,32767,32767,32767,32767,32767,32767
21727340000,32767,32767,32767,32767,32767,32767
21727344000,32767,32767,32767,32767,32767,32767
21727348000,32767,32767,32767,32767,32767,32767
21727352000,32767,32767,32767,32767,32767,32767
21727356000,32767,32767,32767,32767,32767,32767
21727360000,32767,32767,32767,32767,32767,32767
21727364000,32767,32767,32767,32767,32767,32767
21727368000,32767,32767,32767,32767,32767,32767
21727372000,32767,32767,32767,32767,32767,32767
21727376000,32767,32767,32767,32767,32767,32767
21727380000,32767,32767,32767,32767,32767,32767
21727384000,32767,32767,32767,32767,32767,32767
21727388000,32767,32767,32767,32767,32767,32767
21727392000,32767,32767,32767,-40,32767,32767
21727396000,32767,32767,32767,32767,32767,32767
21727400000,32767,32767,32767,32767,32767,32767
21727404000,32767,32767,32767,32767,32767,32767
21727408000,32767,32767,32767,32767,32767,32767
21727412000,32767,32767,32767,32767,0,32767
21727416000,32767,32767,32767,32767,32767,32767
21727420000,32767,32767,32767,32767,32767,32767
21727424000,32767,32767,32767,32767,0,32767
21727428000,32767,32767,32767,32767,32767,32767
21727432000,32767,32767,32767,32767,32767,32767
21727436000,32767,32767,32767,32767,32767,32767
21727440000,32767,32767,32767,-40,32767,32767
21727444000,32767,32767,32767,32767,32767,32767
21727448000,32767,32767,32767,32767,32767,32767
21727452000,32767,32767,32767,32767,32767,32767
21727456000,32767,32767,32767,32767,32767,32767
21727460000,32767,32767,32767,32767,32767,32767
21727464000,32767,32767,32767,32767,32767,32767
21727468000,32767,32767,32767,32767,32767,32767
21727472000,32767,32767,32767,32767,32767,32767
21727476000,32767,32767,32767,32767,32767,32767
21727480000,32767,32767,32767,32767,32767,32767
21727484000,32767,32767,32767,32767,32767,32767
21727488000,32767,32767,32767,32767,32767,32767
21727492000,32767,32767,32767,32767,32767,32767
21727496000,32767,32767,32767,32767,32767,32767
21727500000,32767,32767,32767,32767,32767,32767
21727504000,32767,32767,32767,32767,32767,32767
21727508000,32767,32767,32767,0,32767,32767
21727512000,32767,32767,32767,32767,32767,32767
21727516000,32767,32767,32767,32767,32767,32767
21727520000,32767,32767,32767,32767,32767,32767
21727524000,32767,32767,32767,32767,32767,32767
21727528000,32767,32767,32767,32767,32767,32767
21727532000,32767,32767,32767,32767,32767,32767
21727536000,32767,32767,32767,32767,32767,32767
21727540000,32767,32767,32767,32767,32767,32767
21727544000,32767,32767,32767,32767,32767,32767
21727548000,32767,32767,32767,32767,32767,32767
21727552000,32767,32767,32767,32767,32767,32767
21727556000,32767,32767,32767,0,0,32767
21727560000,32767,32767,32767,32767,32767,32767
21727564000,32767,32767,32767,32767,32767,32767
21727568000,32767,32767,32767,32767,0,32767
21727572000,32767,32767,32767,32767,32767,32767
21727576000,32767,32767,32767,32767,32767,32767
21727580000,32767,32767,32767,32767,32767,32767
21727584000,32767,32767,32767,32767,32767,32767
21727588000,32767,32767,32767,32767,32767,32767
21727592000,32767,32767,32767,32767,32767,32767
21727596000,32767,32767,32767,32767,32767,32767
21727600000,32767,32767,32767,32767,32767,32767
21727604000,32767,32767,32767,0,32767,32767
21727608000,32767,32767,32767,32767,32767,32767
21727612000,32767,32767,32767,32767,32767,32767
21727616000,32767,32767,32767,32767,32767,32767
21727620000,32767,32767,32767,32767,32767,32767
21727624000,32767,32767,32767,32767,32767,32767
21727628000,32767,32767,32767,32767,32767,32767
21727632000,32767,32767,32767,32767,32767,32767
21727636000,32767,32767,32767,32767,32767,32767
21727640000,32767,32767,32767,32767,32767,32767
21727644000,32767,32767,32767,32767,32767,32767
21727648000,32767,32767,32767,32767,32767,32767
21727652000,32767,32767,32767,32767,32767,32767
21727656000,32767,32767,32767,32767,32767,32767
21727660000,32767,32767,32767,32767,32767,32767
21727664000,32767,32767,32767,32767,32767,32767
21727668000,32767,32767,32767,32767,32767,32767
21727672000,32767,32767,32767,32767,32767,32767
21727676000,32767,32767,32767,32767,32767,32767
21727680000,32767,32767,32767,-40,32767,32767
21727684000,32767,32767,32767,32767,32767,32767
21727688000,32767,32767,32767,32767,32767,32767
21727692000,32767,32767,32767,32767,32767,32767
21727696000,32767,32767,32767,32767,32767,32767
