timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
21727024000,1694492999082077,0,416066981,-863556160,229259,229259,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.4326396,0,nan,nan,0.0,0,3,0,1,10
21728008000,1694493000066077,0,416066980,-863556160,229268,229268,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.0,0.45186573,0,nan,nan,0.0,0,3,0,1,10
21728836000,1694493000902077,0,416066980,-863556159,229269,229269,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,4.2523203,0,nan,nan,0.0,0,3,0,1,10
21730036000,1694493002094077,0,416066980,-863556160,229274,229274,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,0.0,-0.04,3.5529666,0,nan,nan,0.0,0,3,0,1,10
21731024000,1694493003086077,0,416066980,-863556160,229260,229260,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.01,-0.01,0.8023278,0,nan,nan,0.0,0,3,0,1,10
21732008000,1694493004070077,0,416066980,-863556160,229275,229275,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.049999997,0.15620697,0,nan,nan,0.0,0,3,0,1,10
21733000000,1694493005062077,0,416066981,-863556160,229274,229274,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.01,3.6048028,0,nan,nan,0.0,0,3,0,1,10
21734040000,1694493006098077,0,416066980,-863556160,229265,229265,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,2.3270476,0,nan,nan,0.0,0,3,0,1,10
21735028000,1694493007090077,0,416066979,-863556160,230023,230023,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,0.01,0.0,-1.5799999,0.24294983,0,nan,nan,0.0,0,3,0,1,10
21736016000,1694493008074077,0,416066981,-863556163,231094,231094,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,0.04,-0.03,-0.71,5.641602,0,nan,nan,0.0,0,3,0,1,10
21737004000,1694493009066077,0,416066982,-863556164,231498,231498,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,-0.02,0.0,-0.28,2.9510026,0,nan,nan,0.0,0,3,0,1,10
21737836000,1694493009894077,0,416066983,-863556162,231599,231599,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,0.0,0.01,0.08,2.072404,0,nan,nan,0.0,0,3,0,1,10
21739028000,1694493011086077,0,416066984,-863556129,231834,231834,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.77,0.0,0.77,-0.55,1.5591025,0,nan,nan,0.0,0,3,0,1,10
21740020000,1694493012078077,0,416066948,-863555926,232884,232884,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.83,-1.15,2.58,-1.78,1.9901989,0,nan,nan,0.0,0,3,0,1,10
21741008000,1694493013070077,0,416066811,-863555560,235396,235396,0.25,0.5,1.0,1.0,0.0,0.0,0,0,3.84,-1.77,3.3999999,-3.1599998,2.0504127,0,nan,nan,0.0,0,3,0,1,10
21741840000,1694493013898077,0,416066666,-863555198,238356,238356,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.36,-2.08,3.83,-3.9299998,2.0692623,0,nan,nan,0.0,0,3,0,1,10
21743036000,1694493015094077,0,416066427,-863554609,243508,243508,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.89,-2.35,4.29,-4.61,2.072404,0,nan,nan,0.0,0,3,0,1,10
21744024000,1694493016082077,0,416066208,-863554082,248265,248265,0.25,0.5,1.0,1.0,0.0,0.0,0,0,5.2,-2.54,4.54,-5.0299997,2.0811305,0,nan,nan,0.0,0,3,0,1,10
21745012000,1694493017070077,0,416065978,-863553528,253325,253325,0.25,0.5,1.0,1.0,0.0,0.0,0,0,5.42,-2.6299999,4.73,-5.19,2.0786872,0,nan,nan,0.0,0,3,0,1,10
21745996000,1694493018062077,0,416065737,-863552952,258568,258568,0.25,0.5,1.0,1.0,0.0,0.0,0,0,5.5899997,-2.73,4.87,-5.33,2.082527,0,nan,nan,0.0,0,3,0,1,10
21747040000,1694493019098077,0,416065477,-863552335,264165,264165,0.25,0.5,1.0,1.0,0.0,0.0,0,0,5.73,-2.79,5.0099998,-5.52,2.079036,0,nan,nan,0.0,0,3,0,1,10
21748024000,1694493020086077,0,416065224,-863551735,269620,269620,0.25,0.5,1.0,1.0,0.0,0.0,0,0,5.81,-2.86,5.0499997,-5.56,2.0860174,0,nan,nan,0.0,0,3,0,1,10
21749016000,1694493021074077,0,416064967,-863551128,275107,275107,0.25,0.5,1.0,1.0,0.0,0.0,0,0,5.8799996,-2.8999999,5.1,-5.5899997,2.0874138,0,nan,nan,0.0,0,3,0,1,10
21750004000,1694493022066077,0,416064706,-863550512,280656,280656,0.25,0.5,1.0,1.0,0.0,0.0,0,0,5.93,-2.9299998,5.16,-5.62,2.088461,0,nan,nan,0.0,0,3,0,1,10
