timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
21726360000,0,0.8541896,-0.0016766568,-0.0023711508,-0.5199623,0.0,0.0,0.0,0.0,0
21726364000,0,0.85418963,-0.0016766809,-0.0023711368,-0.51996225,0.0,0.0,0.0,0.0,0
21726372000,0,0.85418963,-0.0016767427,-0.002371101,-0.51996225,0.0,0.0,0.0,0.0,0
21726380000,0,0.8541897,-0.0016767131,-0.0023711203,-0.5199622,0.0,0.0,0.0,0.0,0
21726392000,0,0.85418975,-0.0016767086,-0.0023711147,-0.5199621,0.0,0.0,0.0,0.0,0
21726400000,0,0.8541898,-0.0016767256,-0.0023710842,-0.519962,0.0,0.0,0.0,0.0,0
21726412000,0,0.85418993,-0.0016766265,-0.002371091,-0.5199618,0.0,0.0,0.0,0.0,0
21726420000,0,0.85419,-0.001676611,-0.0023710516,-0.51996166,0.0,0.0,0.0,0.0,0
21726432000,0,0.8541901,-0.0016764859,-0.002371035,-0.5199615,0.0,0.0,0.0,0.0,0
21726440000,0,0.8541902,-0.0016764513,-0.0023709852,-0.5199613,0.0,0.0,0.0,0.0,0
21726452000,0,0.8541903,-0.001676281,-0.0023709896,-0.5199611,0.0,0.0,0.0,0.0,0
21726460000,0,0.8541904,-0.0016762022,-0.0023709692,-0.519961,0.0,0.0,0.0,0.0,0
21726472000,0,0.8541905,-0.0016759378,-0.0023710174,-0.5199608,0.0,0.0,0.0,0.0,0
21726476000,0,0.8541905,-0.0016758641,-0.0023710248,-0.51996076,0.0,0.0,0.0,0.0,0
21726492000,0,0.8541907,-0.0016755671,-0.002371067,-0.5199605,0.0,0.0,0.0,0.0,0
21726496000,0,0.8541907,-0.0016755442,-0.0023710453,-0.51996046,0.0,0.0,0.0,0.0,0
21726512000,0,0.8541909,-0.0016754613,-0.002370955,-0.5199602,0.0,0.0,0.0,0.0,0
21726520000,0,0.85419095,-0.0016753945,-0.0023709496,-0.5199601,0.0,0.0,0.0,0.0,0
21726532000,0,0.85419106,-0.0016754048,-0.0023708853,-0.5199599,0.0,0.0,0.0,0.0,0
21726540000,0,0.8541911,-0.0016752905,-0.0023709221,-0.5199598,0.0,0.0,0.0,0.0,0
21726552000,0,0.85419124,-0.0016752456,-0.002370899,-0.5199596,0.0,0.0,0.0,0.0,0
21726560000,0,0.8541913,-0.0016751538,-0.0023709228,-0.51995957,0.0,0.0,0.0,0.0,0
21726572000,0,0.85419136,-0.0016752435,-0.002370819,-0.5199594,0.0,0.0,0.0,0.0,0
21726580000,0,0.8541914,-0.001675297,-0.0023707573,-0.5199593,0.0,0.0,0.0,0.0,0
21726592000,0,0.85419154,-0.0016755696,-0.0023705433,-0.5199591,0.0,0.0,0.0,0.0,0
21726600000,0,0.8541916,-0.0016756866,-0.0023704339,-0.519959,0.0,0.0,0.0,0.0,0
21726612000,0,0.8541917,-0.001675922,-0.0023702234,-0.5199588,0.0,0.0,0.0,0.0,0
21726616000,0,0.8541918,-0.0016760291,-0.0023701338,-0.51995873,0.0,0.0,0.0,0.0,0
21726628000,0,0.85419184,-0.0016763535,-0.0023698574,-0.5199586,0.0,0.0,0.0,0.0,0
21726640000,0,0.85419196,-0.0016765862,-0.00236963,-0.51995844,0.0,0.0,0.0,0.0,0
21726648000,0,0.854192,-0.0016767643,-0.00236946,-0.5199583,0.0,0.0,0.0,0.0,0
21726660000,0,0.85419214,-0.0016768208,-0.0023693254,-0.51995814,0.0,0.0,0.0,0.0,0
21726672000,0,0.8541922,-0.001676729,-0.0023692816,-0.519958,0.0,0.0,0.0,0.0,0
21726676000,0,0.85419226,-0.0016767094,-0.002369262,-0.51995796,0.0,0.0,0.0,0.0,0
21726692000,0,0.8541924,-0.0016764589,-0.0023693016,-0.5199577,0.0,0.0,0.0,0.0,0
21726700000,0,0.85419244,-0.0016763833,-0.0023692867,-0.51995766,0.0,0.0,0.0,0.0,0
21726712000,0,0.85419255,-0.0016762207,-0.0023692972,-0.5199575,0.0,0.0,0.0,0.0,0
21726720000,0,0.8541926,-0.0016762015,-0.002369257,-0.51995736,0.0,0.0,0.0,0.0,0
21726728000,0,0.8541927,-0.0016760904,-0.0023692818,-0.51995724,0.0,0.0,0.0,0.0,0
21726740000,0,0.8541928,-0.0016760435,-0.002369253,-0.5199571,0.0,0.0,0.0,0.0,0
21726752000,0,0.85419285,-0.0016758692,-0.0023693012,-0.51995695,0.0,0.0,0.0,0.0,0
21726760000,0,0.8541929,-0.0016757938,-0.0023693023,-0.5199568,0.0,0.0,0.0,0.0,0
21726772000,0,0.85419303,-0.001675607,-0.0023693398,-0.5199567,0.0,0.0,0.0,0.0,0
21726780000,0,0.8541931,-0.0016755626,-0.0023693205,-0.5199566,0.0,0.0,0.0,0.0,0
21726788000,0,0.85419315,-0.0016754064,-0.0023693722,-0.5199565,0.0,0.0,0.0,0.0,0
21726796000,0,0.8541932,-0.0016753254,-0.0023693724,-0.5199564,0.0,0.0,0.0,0.0,0
21726808000,0,0.8541933,-0.0016750804,-0.0023694343,-0.51995623,0.0,0.0,0.0,0.0,0
21726820000,0,0.8541934,-0.0016748599,-0.0023694937,-0.5199561,0.0,0.0,0.0,0.0,0
21726832000,0,0.8541935,-0.0016748115,-0.0023694565,-0.51995593,0.0,0.0,0.0,0.0,0
21726840000,0,0.85419357,-0.0016747135,-0.0023694627,-0.5199559,0.0,0.0,0.0,0.0,0
21726848000,0,0.8541936,-0.0016747257,-0.0023694055,-0.51995575,0.0,0.0,0.0,0.0,0
21726856000,0,0.8541937,-0.0016746435,-0.002369425,-0.51995564,0.0,0.0,0.0,0.0,0
21726868000,0,0.85419375,-0.0016746231,-0.002369423,-0.5199555,0.0,0.0,0.0,0.0,0
21726876000,0,0.8541938,-0.0016744994,-0.0023694914,-0.5199554,0.0,0.0,0.0,0.0,0
21726892000,0,0.8541939,-0.0016744337,-0.0023695007,-0.5199552,0.0,0.0,0.0,0.0,0
21726900000,0,0.854194,-0.0016743803,-0.0023695237,-0.5199551,0.0,0.0,0.0,0.0,0
21726912000,0,0.85419405,-0.0016745384,-0.0023694218,-0.519955,0.0,0.0,0.0,0.0,0
21726920000,0,0.8541941,-0.0016746367,-0.0023693545,-0.51995486,0.0,0.0,0.0,0.0,0
21726932000,0,0.8541942,-0.0016749565,-0.0023691372,-0.51995474,0.0,0.0,0.0,0.0,0
21726936000,0,0.8541942,-0.0016749862,-0.002369109,-0.5199547,0.0,0.0,0.0,0.0,0
21726952000,0,0.85419434,-0.0016754548,-0.002368772,-0.5199545,0.0,0.0,0.0,0.0,0
21726956000,0,0.8541944,-0.0016754834,-0.002368739,-0.51995444,0.0,0.0,0.0,0.0,0
21726972000,0,0.8541945,-0.0016759322,-0.0023683908,-0.51995426,0.0,0.0,0.0,0.0,0
21726980000,0,0.8541946,-0.00167603,-0.0023682879,-0.51995414,0.0,0.0,0.0,0.0,0
21726992000,0,0.85419464,-0.0016761856,-0.0023681272,-0.519954,0.0,0.0,0.0,0.0,0
21727000000,0,0.8541947,-0.001676127,-0.002368124,-0.51995397,0.0,0.0,0.0,0.0,0
21727012000,0,0.85419476,-0.0016760755,-0.0023680974,-0.5199538,0.0,0.0,0.0,0.0,0
21727020000,0,0.8541948,-0.0016759308,-0.0023681498,-0.5199537,0.0,0.0,0.0,0.0,0
21727032000,0,0.85419494,-0.0016758554,-0.002368144,-0.5199536,0.0,0.0,0.0,0.0,0
21727040000,0,0.854195,-0.0016757493,-0.0023681791,-0.5199535,0.0,0.0,0.0,0.0,0
21727052000,0,0.85419506,-0.0016756819,-0.0023681764,-0.51995337,0.0,0.0,0.0,0.0,0
21727060000,0,0.8541951,-0.0016757246,-0.0023681263,-0.51995325,0.0,0.0,0.0,0.0,0
21727072000,0,0.8541952,-0.0016757202,-0.0023681049,-0.51995313,0.0,0.0,0.0,0.0,0
21727080000,0,0.85419524,-0.0016757644,-0.0023680625,-0.5199531,0.0,0.0,0.0,0.0,0
21727092000,0,0.85419536,-0.0016756925,-0.002368076,-0.5199529,0.0,0.0,0.0,0.0,0
21727096000,0,0.85419536,-0.0016756882,-0.0023680653,-0.5199529,0.0,0.0,0.0,0.0,0
21727112000,0,0.8541955,-0.0016755495,-0.002368098,-0.5199527,0.0,0.0,0.0,0.0,0
21727116000,0,0.8541955,-0.0016755296,-0.0023681007,-0.51995265,0.0,0.0,0.0,0.0,0
21727132000,0,0.8541956,-0.0016753614,-0.002368153,-0.5199525,0.0,0.0,0.0,0.0,0
21727136000,0,0.85419565,-0.0016753236,-0.0023681577,-0.5199524,0.0,0.0,0.0,0.0,0
21727148000,0,0.8541957,-0.0016751464,-0.002368212,-0.5199523,0.0,0.0,0.0,0.0,0
21727156000,0,0.8541958,-0.0016751518,-0.0023681887,-0.5199522,0.0,0.0,0.0,0.0,0
21727168000,0,0.85419583,-0.0016751667,-0.002368152,-0.51995206,0.0,0.0,0.0,0.0,0
21727176000,0,0.8541959,-0.001675276,-0.0023680525,-0.519952,0.0,0.0,0.0,0.0,0
21727188000,0,0.85419595,-0.0016753118,-0.0023679938,-0.5199519,0.0,0.0,0.0,0.0,0
21727200000,0,0.8541961,-0.001675398,-0.0023679603,-0.51995176,0.0,0.0,0.0,0.0,0
21727212000,0,0.85419613,-0.0016753542,-0.0023680092,-0.5199516,0.0,0.0,0.0,0.0,0
21727216000,0,0.85419613,-0.0016753619,-0.0023680069,-0.5199516,0.0,0.0,0.0,0.0,0
21727228000,0,0.85419625,-0.0016753522,-0.002368022,-0.51995146,0.0,0.0,0.0,0.0,0
21727240000,0,0.8541963,-0.0016754577,-0.0023679866,-0.5199513,0.0,0.0,0.0,0.0,0
21727248000,0,0.85419637,-0.0016756385,-0.0023678946,-0.5199512,0.0,0.0,0.0,0.0,0
21727256000,0,0.8541964,-0.0016758508,-0.0023677775,-0.51995116,0.0,0.0,0.0,0.0,0
21727268000,0,0.8541965,-0.0016761017,-0.002367631,-0.519951,0.0,0.0,0.0,0.0,0
21727280000,0,0.85419655,-0.0016763504,-0.002367475,-0.51995087,0.0,0.0,0.0,0.0,0
21727292000,0,0.8541966,-0.0016766954,-0.00236725,-0.51995075,0.0,0.0,0.0,0.0,0
21727300000,0,0.85419667,-0.001676821,-0.0023671554,-0.5199507,0.0,0.0,0.0,0.0,0
21727312000,0,0.8541968,-0.0016771096,-0.0023669398,-0.51995057,0.0,0.0,0.0,0.0,0
21727320000,0,0.8541968,-0.0016771404,-0.0023668983,-0.51995045,0.0,0.0,0.0,0.0,0
21727332000,0,0.8541969,-0.0016771986,-0.002366841,-0.51995033,0.0,0.0,0.0,0.0,0
21727340000,0,0.8541969,-0.001677088,-0.0023668911,-0.5199503,0.0,0.0,0.0,0.0,0
21727352000,0,0.854197,-0.001677029,-0.0023669002,-0.51995015,0.0,0.0,0.0,0.0,0
21727360000,0,0.8541971,-0.0016769101,-0.0023669624,-0.5199501,0.0,0.0,0.0,0.0,0
21727372000,0,0.85419714,-0.0016768901,-0.0023669684,-0.5199499,0.0,0.0,0.0,0.0,0
21727380000,0,0.8541972,-0.0016767962,-0.002367017,-0.51994985,0.0,0.0,0.0,0.0,0
21727392000,0,0.85419726,-0.0016768391,-0.0023669833,-0.51994973,0.0,0.0,0.0,0.0,0
