timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
21726360000,21726360000,0.85994357,0.0008714692,-0.0026334545,-0.5103815,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726364000,21726364000,0.8599445,0.00087305374,-0.0026384247,-0.5103799,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726368000,21726368000,0.85994786,0.000873963,-0.002642217,-0.5103743,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726372000,21726372000,0.8599498,0.00087708386,-0.0026485543,-0.51037097,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726376000,21726376000,0.85994667,0.00088562677,-0.002659158,-0.5103763,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726380000,21726380000,0.8599429,0.0008893054,-0.0026643947,-0.51038253,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726384000,21726384000,0.8599433,0.0008848732,-0.0026622012,-0.51038194,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726388000,21726388000,0.85994524,0.00088007504,-0.0026616564,-0.5103786,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726392000,21726392000,0.8599475,0.0008714529,-0.0026673619,-0.5103748,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726396000,21726396000,0.8599495,0.0008583375,-0.0026691607,-0.51037145,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726404000,21726404000,0.8599506,0.0008623108,-0.0026507357,-0.5103697,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726408000,21726408000,0.85994965,0.00086604914,-0.002646749,-0.5103714,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726412000,21726412000,0.85994405,0.000860338,-0.0026482805,-0.5103808,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726416000,21726416000,0.8599395,0.00085178437,-0.0026523282,-0.5103884,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726420000,21726420000,0.859935,0.00084716687,-0.0026580926,-0.51039594,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726424000,21726424000,0.8599302,0.0008472991,-0.0026671605,-0.510404,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726428000,21726428000,0.859932,0.0008431185,-0.0026792744,-0.51040107,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726432000,21726432000,0.85993725,0.0008308573,-0.002690195,-0.5103921,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726436000,21726436000,0.8599367,0.00082105794,-0.002693878,-0.5103928,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726444000,21726444000,0.85992706,0.0008170515,-0.0026934806,-0.5104091,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726448000,21726448000,0.85992414,0.00081478304,-0.0026914605,-0.51041406,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726452000,21726452000,0.8599221,0.000819437,-0.0026861203,-0.5104177,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
21726456000,21726456000,0.85992074,0.00082382595,-0.002687324,-0.5104198,0.9994659,-3.3122752e-10,-5.5297705e-10,0.03268201,47
