timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
174021088,1,0,1,0,0,1,1,0,0,0,0,0,0
174534000,1,0,1,0,0,1,1,0,0,0,0,0,0
175036904,1,0,1,0,0,1,1,0,0,0,0,0,0
175542176,1,0,1,0,0,1,1,0,0,0,0,0,0
176042848,1,0,1,0,0,1,1,0,0,0,0,0,0
176287900,1,0,0,1,0,1,1,0,1,1,1,1,0
176298951,1,0,0,1,0,1,1,0,1,1,1,1,0
176811636,1,0,0,1,0,1,1,0,1,1,1,1,0
177320850,1,0,0,1,0,1,1,0,1,1,1,1,0
177822846,1,0,0,1,0,1,1,0,1,1,1,1,0
178323194,1,0,0,1,0,1,1,0,1,1,1,1,0
178830623,1,0,0,1,0,1,1,0,1,1,1,1,0
179333238,1,0,0,1,0,1,1,0,1,1,1,1,0
179840129,1,0,0,1,0,1,1,0,1,1,1,1,0
180341938,1,0,0,1,0,1,1,0,1,1,1,1,0
180847619,1,0,0,1,0,1,1,0,1,1,1,1,0
181349858,1,0,0,1,0,1,1,0,1,1,1,1,0
181852846,1,0,0,1,0,1,1,0,1,1,1,1,0
182360028,1,0,0,1,0,1,1,0,1,1,1,1,0
182861857,1,0,0,1,0,1,1,0,1,1,1,1,0
183368629,1,0,0,1,0,1,1,0,1,1,1,1,0
183879317,1,0,0,1,0,1,1,0,1,1,1,1,0
184386776,1,0,0,1,0,1,1,0,1,1,1,1,0
184895850,1,0,0,1,0,1,1,0,1,1,1,1,0
185397868,1,0,0,1,0,1,1,0,1,1,1,1,0
185904125,1,0,0,1,0,1,1,0,1,1,1,1,0
186411852,1,0,0,1,0,1,1,0,1,1,1,1,0
186917964,1,0,0,1,0,1,1,0,1,1,1,1,0
187428719,1,0,0,1,0,1,1,0,1,1,1,1,0
187936020,1,0,0,1,0,1,1,0,1,1,1,1,0
188437850,1,0,0,1,0,1,1,0,1,1,1,1,0
188943911,1,0,0,1,0,1,1,0,1,1,1,1,0
189451852,1,0,0,1,0,1,1,0,1,1,1,1,0
189960850,1,0,0,1,0,1,1,0,1,1,1,1,0
190468901,1,0,0,1,0,1,1,0,1,1,1,1,0
190975852,1,0,0,1,0,1,1,0,1,1,1,1,0
191476904,1,0,0,1,0,1,1,0,1,1,1,1,0
191979180,1,0,0,1,0,1,1,0,1,1,1,1,0
192483389,1,0,0,1,0,1,1,0,1,1,1,1,0
192992852,1,0,0,1,0,1,1,0,1,1,1,1,0
193499849,1,0,0,1,0,1,1,0,1,1,1,1,0
194007884,1,0,0,1,0,1,1,0,1,1,1,1,0
194509940,1,0,0,1,0,1,1,0,1,1,1,1,0
195015468,1,0,0,1,0,1,1,0,1,1,1,1,0
195521853,1,0,0,1,0,1,1,0,1,1,1,1,0
196030846,1,0,0,1,0,1,1,0,1,1,1,1,0
196536495,1,0,0,1,0,1,1,0,1,1,1,1,0
197044849,1,0,0,1,0,1,1,0,1,1,1,1,0
197553870,1,0,0,1,0,1,1,0,1,1,1,1,0
198061846,1,0,0,1,0,1,1,0,1,1,1,1,0
198568899,1,0,0,1,0,1,1,0,1,1,1,1,0
199071849,1,0,0,1,0,1,1,0,1,1,1,1,0
199581748,1,0,0,1,0,1,1,0,1,1,1,1,0
200088850,1,0,0,1,0,1,1,0,1,1,1,1,0
200597975,1,0,0,1,0,1,1,0,1,1,1,1,0
201100102,1,0,0,1,0,1,1,0,1,1,1,1,0
201610975,1,0,0,1,0,1,1,0,1,1,1,1,0
