timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
21726360000,21726360000,-0.0031448829,0.0028716705,-0.00024646232,0.001,0.0,0.0,0.0,-1.0
21726368000,21726368000,-0.0029860965,0.0029358945,-0.0004959805,0.001,0.0,0.0,0.0,-1.0
21726408000,21726408000,-0.00334984,0.0018262807,-1.08224775e-07,0.001,0.0,0.0,0.0,-1.0
21726460000,21726460000,-0.0032763404,0.0029614072,-0.000117530326,0.001,0.0,0.0,0.0,-1.0
21726512000,21726512000,-0.0028142522,0.0025812064,-0.0010264501,0.001,0.0,0.0,0.0,-1.0
21726560000,21726560000,-0.003247662,0.0026730658,-0.00014345447,0.001,0.0,0.0,0.0,-1.0
21726612000,21726612000,-0.0020730388,0.0029637371,-0.00010960999,0.001,0.0,0.0,0.0,-1.0
21726660000,21726660000,-0.0026983137,0.0023381957,-0.001054955,0.001,0.0,0.0,0.0,-1.0
21726712000,21726712000,-0.0026083256,0.0028798692,-0.00043083355,0.001,0.0,0.0,0.0,-1.0
21726760000,21726760000,-0.0027304306,0.0023627733,0.00013789501,0.001,0.0,0.0,0.0,-1.0
21726808000,21726808000,-0.0035634467,0.0016180024,1.06258485e-05,0.001,0.0,0.0,0.0,-1.0
21726856000,21726856000,-0.003696935,0.00241555,-0.00035782575,0.001,0.0,0.0,0.0,-1.0
21726912000,21726912000,-0.0021261054,0.0025944277,-0.0010143912,0.001,0.0,0.0,0.0,-1.0
21726960000,21726960000,-0.0031213197,0.0027184074,0.00060894765,0.001,0.0,0.0,0.0,-1.0
21727012000,21727012000,-0.0023135738,0.0031769928,-0.0009457729,0.001,0.0,0.0,0.0,-1.0
21727060000,21727060000,-0.003124199,0.0025263063,-0.0002796008,0.001,0.0,0.0,0.0,-1.0
21727112000,21727112000,-0.0030690609,0.003201261,0.00028021363,0.001,0.0,0.0,0.0,-1.0
21727156000,21727156000,-0.0028254185,0.0021641352,-0.0006493362,0.001,0.0,0.0,0.0,-1.0
21727212000,21727212000,-0.0032193623,0.0026549844,-0.00035507896,0.001,0.0,0.0,0.0,-1.0
21727256000,21727256000,-0.0022534896,0.0022915632,-0.00015722711,0.001,0.0,0.0,0.0,-1.0
