timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
21726804000,21726804000,0.8612394,0.000489276,-0.0031069817,-0.50818986,0.9995021,3.9380826e-10,6.2660854e-10,0.031552434,47
21727304000,21727304000,0.86128247,0.00051242404,-0.0030581886,-0.50811696,0.9995021,3.9380826e-10,6.2660854e-10,0.031552434,47
21727804000,21727804000,0.8612866,0.0005481383,-0.0031923654,-0.50810933,0.9995021,3.9380826e-10,6.2660854e-10,0.031552434,47
21728308000,21728308000,0.8613143,0.0005560688,-0.003230172,-0.5080621,0.9995021,3.9380826e-10,6.2660854e-10,0.031552434,47
21728804000,21728804000,0.8613222,0.0006189619,-0.0033960033,-0.5080475,0.9995021,3.9380826e-10,6.2660854e-10,0.031552434,47
21729308000,21729308000,0.86121726,0.0008010329,-0.0035447988,-0.50822395,0.9995021,3.9380826e-10,6.2660854e-10,0.031552434,47
21729804000,21729804000,0.8612116,0.0009454423,-0.0034449077,-0.50823396,0.9995021,3.9380826e-10,6.2660854e-10,0.031552434,47
21730308000,21730308000,0.8611807,0.0011611809,-0.0032972856,-0.5082871,0.9995021,3.9380826e-10,6.2660854e-10,0.031552434,47
21730804000,21730804000,0.8612705,0.0012043179,-0.003276656,-0.5081348,0.9995021,3.9380826e-10,6.2660854e-10,0.031552434,47
21731308000,21731308000,0.8612601,0.0011934304,-0.0033778737,-0.5081519,0.9995021,3.9380826e-10,6.2660854e-10,0.031552434,47
21731804000,21731804000,0.86120564,0.0013532514,-0.0031591957,-0.5082453,0.9995021,3.9380826e-10,6.2660854e-10,0.031552434,47
21732308000,21732308000,0.86109996,0.0011483672,-0.0030738348,-0.5084252,0.9995021,3.9380826e-10,6.2660854e-10,0.031552434,47
21732808000,21732808000,0.86128753,0.0012821159,-0.0031839819,-0.50810635,0.9995021,3.9380826e-10,6.2660854e-10,0.031552434,47
21733308000,21733308000,0.861405,0.0011045347,-0.003110005,-0.507908,0.9995021,3.9380826e-10,6.2660854e-10,0.031552434,47
21733808000,21733808000,0.861786,0.0015091738,-0.0026568058,-0.507263,0.9995021,3.9380826e-10,6.2660854e-10,0.031552434,47
21734308000,21734308000,0.86136943,0.0008561999,0.002064378,-0.50797415,0.9995021,3.9380826e-10,6.2660854e-10,0.031552434,47
21734808000,21734808000,0.86140984,0.0020797062,-0.0038558955,-0.50789183,0.9995021,3.9380826e-10,6.2660854e-10,0.031552434,47
21735304000,21735304000,0.86151505,0.0027756304,-0.003964229,-0.507709,0.9995021,3.9380826e-10,6.2660854e-10,0.031552434,47
21735804000,21735804000,0.87462026,0.0021429926,-0.0019040226,-0.4848003,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21736304000,21736304000,0.8704135,0.003857973,-0.0008948953,-0.4923056,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21736808000,21736808000,0.8678117,0.0037908014,0.00055353757,-0.49687856,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21737304000,21737304000,0.8668037,0.0044807736,0.00015098957,-0.4986296,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21737808000,21737808000,0.8660556,0.0060765874,0.0019518345,-0.49990696,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21738304000,21738304000,0.86409986,0.030269736,0.015449621,-0.5021718,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21738804000,21738804000,0.8581237,0.09129732,0.05147706,-0.5026317,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21739304000,21739304000,0.8494886,0.10708217,0.15545934,-0.49268138,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21739808000,21739808000,0.8487873,0.09614253,0.1697363,-0.491433,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21740308000,21740308000,0.84862465,0.09730699,0.16278993,-0.49382892,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21740808000,21740808000,0.84857506,0.099687465,0.16429506,-0.49294028,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21741308000,21741308000,0.8480659,0.10161225,0.1677471,-0.4922602,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21741808000,21741808000,0.84779763,0.10329696,0.1709039,-0.49128488,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21742304000,21742304000,0.8474545,0.1045345,0.17432164,-0.4904136,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21742808000,21742808000,0.8470211,0.10573905,0.17728731,-0.48984054,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21743308000,21743308000,0.8465907,0.10735437,0.17908962,-0.48957747,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21743808000,21743808000,0.8462821,0.10778535,0.18178065,-0.48902422,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21744308000,21744308000,0.8457699,0.10950986,0.18309584,-0.4890367,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21744804000,21744804000,0.8454606,0.10969223,0.18507983,-0.48878375,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21745308000,21745308000,0.84507596,0.11055453,0.18653888,-0.48869985,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21745808000,21745808000,0.84484404,0.110815845,0.18797648,-0.488491,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21746304000,21746304000,0.8446656,0.11140689,0.18916419,-0.4882064,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21746808000,21746808000,0.8445918,0.11191899,0.18988608,-0.4879366,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21747308000,21747308000,0.8444127,0.11258157,0.19075355,-0.48775578,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21747804000,21747804000,0.84455436,0.11205296,0.19182424,-0.48721212,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21748308000,21748308000,0.8442285,0.11284101,0.19247603,-0.48733792,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21748808000,21748808000,0.8441612,0.11303973,0.19279717,-0.48728138,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21749308000,21749308000,0.8441485,0.113554955,0.19326912,-0.4869967,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21749808000,21749808000,0.84416324,0.112698,0.19420242,-0.48679873,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21750304000,21750304000,0.8439799,0.11406375,0.19388515,-0.48692518,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21750808000,21750808000,0.84391373,0.11402907,0.19426353,-0.48689714,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21751304000,21751304000,0.84385866,0.11314143,0.19517621,-0.4868344,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21751804000,21751804000,0.8436285,0.114040405,0.19512315,-0.48704487,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21752304000,21752304000,0.8437458,0.11374749,0.19536683,-0.4868124,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21752808000,21752808000,0.84371525,0.11394913,0.19554408,-0.48674703,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21753308000,21753308000,0.8436602,0.114235826,0.1953388,-0.48685783,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21753804000,21753804000,0.8435733,0.11430327,0.19567534,-0.4868574,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21754308000,21754308000,0.8434628,0.11453067,0.19562739,-0.48701474,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21754808000,21754808000,0.84344196,0.11394198,0.19610457,-0.48699695,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21755304000,21755304000,0.8434607,0.1142864,0.19554111,-0.48711044,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21755808000,21755808000,0.84340805,0.113797955,0.19622315,-0.48704156,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21756304000,21756304000,0.8432514,0.114380404,0.1960414,-0.48724958,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21756804000,21756804000,0.8432645,0.114804626,0.1956545,-0.48728257,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21757304000,21757304000,0.84325993,0.1144538,0.19607009,-0.48720595,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21757804000,21757804000,0.8431762,0.11478252,0.19577874,-0.48739076,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21758308000,21758308000,0.8432697,0.11455389,0.19579129,-0.48727778,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21758808000,21758808000,0.84317493,0.11449592,0.19597833,-0.48738003,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21759308000,21759308000,0.8431078,0.11464128,0.19589347,-0.48749605,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21759804000,21759804000,0.8431156,0.115018815,0.19588174,-0.48739833,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21760308000,21760308000,0.8431442,0.11455716,0.19590989,-0.48744628,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21760808000,21760808000,0.84313667,0.114522696,0.1960368,-0.48741657,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21761308000,21761308000,0.8430739,0.114832915,0.19612782,-0.48741528,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21761804000,21761804000,0.84300727,0.11491788,0.19604935,-0.4875422,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21762308000,21762308000,0.8430161,0.115177244,0.19583194,-0.48755306,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21762808000,21762808000,0.84303206,0.114703715,0.19628069,-0.4874567,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21763304000,21763304000,0.8430263,0.11511035,0.19583675,-0.48754945,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21763808000,21763808000,0.8429615,0.11480933,0.1961247,-0.48761648,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21764304000,21764304000,0.84289306,0.11502619,0.19617361,-0.48766416,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21764808000,21764808000,0.84292686,0.11475028,0.19593439,-0.48776668,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21765304000,21765304000,0.8429845,0.11472114,0.19590768,-0.48768485,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21765808000,21765808000,0.8430488,0.11461476,0.19600728,-0.4875587,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21766308000,21766308000,0.84274256,0.11553043,0.19602548,-0.48786438,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21766808000,21766808000,0.84298635,0.11473996,0.19606234,-0.4876151,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21767308000,21767308000,0.8427589,0.11550689,0.19587572,-0.48790196,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21767808000,21767808000,0.84288126,0.11478586,0.19654857,-0.48759013,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21768308000,21768308000,0.84277874,0.11533979,0.19612995,-0.48780495,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
21768808000,21768808000,0.8428741,0.11525086,0.1962538,-0.48761162,0.99935496,2.1403634e-10,-2.44476e-10,0.035913043,48
