timestamp,safety_switch_available,safety_off
21725496000,1,1
21726504000,1,1
21727512000,1,1
21728520000,1,1
21729528000,1,1
21730536000,1,1
21731536000,1,1
21732544000,1,1
21733552000,1,1
21734560000,1,1
21735560000,1,1
21736568000,1,1
21737576000,1,1
21738584000,1,1
21739592000,1,1
21740600000,1,1
21741608000,1,1
21742616000,1,1
21743624000,1,1
21744632000,1,1
21745640000,1,1
21746648000,1,1
21747656000,1,1
21748664000,1,1
21749672000,1,1
21750680000,1,1
21751688000,1,1
21752696000,1,1
21753704000,1,1
21754712000,1,1
21755720000,1,1
21756728000,1,1
21757736000,1,1
21758744000,1,1
21759752000,1,1
21760760000,1,1
21761768000,1,1
21762776000,1,1
21763784000,1,1
21764792000,1,1
21765800000,1,1
21766808000,1,1
21767816000,1,1
21768824000,1,1
21769832000,1,1
21770840000,1,1
21771848000,1,1
21772856000,1,1
21773864000,1,1
21774872000,1,1
21775880000,1,1
21776888000,1,1
21777896000,1,1
21778904000,1,1
21779912000,1,1
21780920000,1,1
21781928000,1,1
21782936000,1,1
21783944000,1,1
21784952000,1,1
21785960000,1,1
21786968000,1,1
21787976000,1,1
21788984000,1,1
21789992000,1,1
21791000000,1,1
21792008000,1,1
21793016000,1,1
21794024000,1,1
21795032000,1,1
21796040000,1,1
21797048000,1,1
21798056000,1,1
21799064000,1,1
21800072000,1,1
21801080000,1,1
21802088000,1,1
21803096000,1,1
21804104000,1,1
21805112000,1,1
21806120000,1,1
21807128000,1,1
21808136000,1,1
21809144000,1,1
21810152000,1,1
21811160000,1,1
21812168000,1,1
21813176000,1,1
21814184000,1,1
21815192000,1,1
21816200000,1,1
21817208000,1,1
21818216000,1,1
21819224000,1,1
21820232000,1,1
21821240000,1,1
21822248000,1,1
21823256000,1,1
21824264000,1,1
21825272000,1,1
21826280000,1,1
21827288000,1,1
21828296000,1,1
21829304000,1,1
21830312000,1,1
21831320000,1,1
21832328000,1,1
21833336000,1,1
21834344000,1,1
21835352000,1,1
21836360000,1,1
21837368000,1,1
21838376000,1,1
21839384000,1,1
21840392000,1,1
21841400000,1,1
21842408000,1,1
21843416000,1,1
21844424000,1,1
21845432000,1,1
21846440000,1,1
21847448000,1,1
21848456000,1,1
21849464000,1,1
21850472000,1,1
