timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,parachute_system_healthy
21726652000,4000000.0,1.0,17639.443,0.0,8619988,0,549.80084,404216,1786,0,0,0,0.00441843,0,0,0,1,1,1,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21727904000,4000000.0,1.0,17501.992,0.0,8620489,0,568.7251,404245,1786,0,0,0,0.004418113,0,0,0,1,1,1,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21729156000,4000000.0,1.0,17645.418,0.0,8620995,0,526.89246,404274,1786,0,0,0,0.0044177957,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21729592000,4000000.0,1.0,17645.418,0.0,8621171,0,526.89246,404286,1786,0,0,0,0.004417665,0,0,0,1,1,1,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21730848000,4000000.0,1.0,17527.889,0.0,8621677,0,572.70917,404317,1786,0,0,0,0.004417326,0,0,0,1,1,1,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21731564000,4000000.0,1.0,17527.889,0.0,8621968,0,572.70917,404337,1786,0,0,0,0.0044171074,0,0,0,1,1,1,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21732816000,4000000.0,1.0,17542.83,0.0,8622473,0,503.98407,404365,1786,0,0,0,0.0044168015,0,0,0,1,1,1,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21734076000,4000000.0,1.0,17659.363,0.0,8622976,0,549.80084,404394,1786,0,0,0,0.004416485,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21734540000,4000000.0,1.0,17659.363,0.0,8623168,0,549.80084,404405,1786,0,0,0,0.0044163647,0,0,0,1,1,1,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21735596000,4000000.0,1.0,17468.129,0.0,8623594,0,524.9004,404432,1786,0,0,0,0.00441607,0,0,0,1,1,1,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21736848000,4000000.0,1.0,17427.291,0.0,8624090,0,526.89246,404460,1786,0,0,0,0.004415764,0,0,0,1,1,1,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21737556000,4000000.0,1.0,17427.291,0.0,8624381,0,526.89246,404479,1786,0,0,0,0.004415557,0,0,0,1,1,1,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21738816000,4000000.0,1.0,17684.264,0.0,8624888,0,526.89246,404507,1786,0,0,0,0.0044152513,0,0,0,1,1,1,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21739532000,4000000.0,1.0,17684.264,0.0,8625153,0,526.89246,404525,1786,0,0,0,0.004415055,0,0,0,1,1,1,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21740784000,4000000.0,1.0,14329.682,0.0,8625599,0,575.6972,404556,1786,0,0,0,0.0044147163,0,0,0,1,1,1,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21742040000,4000000.0,1.0,14333.666,0.0,8626039,0,503.98407,404584,1786,0,0,0,0.004414411,0,0,0,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
