timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
21726064000,21725984000,1311004,0.001098957,8.2383696e-05,-0.00025154976,0.34906584,1.3784022e-07,1.378404e-07,3.5919436e-07,1311004,-0.015618751,-0.001512222,-0.02762729,0.4,0.0013564567,0.0013633961,0.00078123936,197644,0.0121409055,-0.0051030065,-0.0013440406,0.5,1.8456922e-05,4.2435124e-05,5.2224037e-05,1,1,1,0,1,0
21726688000,21726608000,1311004,0.0010705915,9.2186485e-05,-0.000250831,0.34906584,1.378347e-07,1.3783666e-07,3.5907797e-07,1311004,-0.01562316,-0.0015067888,-0.029775435,0.4,0.0013564988,0.0013634382,0.00078123936,197644,0.0121409055,-0.0051030065,-0.0013440406,0.5,1.8456922e-05,4.2435124e-05,5.2224037e-05,1,1,1,0,1,0
21727312000,21727232000,1311004,0.001049787,0.00010036799,-0.000247993,0.34906584,1.3783323e-07,1.3783611e-07,3.589663e-07,1311004,-0.015628012,-0.0015049673,-0.031101583,0.4,0.0013565427,0.0013634813,0.00078123936,197644,0.0121409055,-0.0051030065,-0.0013440406,0.5,1.8456922e-05,4.2435124e-05,5.2224037e-05,1,1,1,0,1,0
21727520000,21727440000,1311004,0.0010448238,0.00010100543,-0.00025321386,0.34906584,1.3783138e-07,1.3783453e-07,3.5892978e-07,1311004,-0.015628392,-0.0015033068,-0.032189965,0.4,0.0013565572,0.0013634958,0.00078123936,197644,0.0121409055,-0.0051030065,-0.0013440406,0.5,1.8456922e-05,4.2435124e-05,5.2224037e-05,1,1,1,0,1,0
21728520000,21728440000,1311004,0.0010209173,0.00010791158,-0.00024920833,0.34906584,1.3917685e-07,1.3918091e-07,3.589924e-07,1311004,-0.01563178,-0.0015048041,-0.03235165,0.4,0.0013566265,0.0013635656,0.0007812457,197644,0.0121409055,-0.0051030065,-0.0013440406,0.5,1.8456922e-05,4.2435124e-05,5.2224037e-05,1,1,1,0,1,0
21729184000,21729104000,1311004,0.0009878605,0.000105159204,-0.00025220183,0.34906584,1.3783877e-07,1.3784515e-07,3.5920175e-07,1311004,-0.015634276,-0.0015104257,-0.030531451,0.4,0.0013566725,0.0013636112,0.00078123936,197644,0.0121409055,-0.0051030065,-0.0013440406,0.5,1.8456922e-05,4.2435124e-05,5.2224037e-05,1,1,1,0,1,0
21729392000,21729312000,1311004,0.0009848531,0.00010484171,-0.00025178053,0.34906584,1.3784107e-07,1.378473e-07,3.5916702e-07,1311004,-0.015633777,-0.0015120257,-0.02925237,0.4,0.0013566869,0.0013636257,0.00078123936,197644,0.0121409055,-0.0051030065,-0.0013440406,0.5,1.8456922e-05,4.2435124e-05,5.2224037e-05,1,1,1,0,1,0
21729600000,21729520000,1311004,0.0009762689,0.000102411395,-0.00025353124,0.34906584,1.378367e-07,1.3784361e-07,3.5913098e-07,1311004,-0.015632583,-0.001509399,-0.030754678,0.4,0.0013567011,0.0013636396,0.00078123936,197644,0.0121409055,-0.0051030065,-0.0013440406,0.5,1.8456922e-05,4.2435124e-05,5.2224037e-05,1,1,1,0,1,0
21729808000,21729728000,1311004,0.00096554746,9.639193e-05,-0.00025470468,0.34906584,1.3783858e-07,1.378467e-07,3.5909318e-07,1311004,-0.015630526,-0.0015098271,-0.02955376,0.4,0.0013567152,0.0013636535,0.00078123936,197644,0.0121409055,-0.0051030065,-0.0013440406,0.5,1.8456922e-05,4.2435124e-05,5.2224037e-05,1,1,1,0,1,0
21730016000,21729936000,1311004,0.0009630143,9.085719e-05,-0.0002541466,0.34906584,1.3782726e-07,1.3783541e-07,3.5905742e-07,1311004,-0.015630642,-0.0015044797,-0.034360286,0.4,0.0013567253,0.0013636638,0.00078123936,197644,0.0121409055,-0.0051030065,-0.0013440406,0.5,1.8456922e-05,4.2435124e-05,5.2224037e-05,1,1,1,0,1,0
21730432000,21730352000,1311004,0.00096840906,9.054909e-05,-0.00025347676,0.34906584,1.3783364e-07,1.3783982e-07,3.5897997e-07,1311004,-0.01563207,-0.0015057204,-0.03247684,0.4,0.0013567533,0.0013636912,0.00078123936,197644,0.0121409055,-0.0051030065,-0.0013440406,0.5,1.8456922e-05,4.2435124e-05,5.2224037e-05,1,1,1,0,1,0
21730848000,21730768000,1311004,0.0009687774,9.066617e-05,-0.0002526025,0.34906584,1.3783134e-07,1.3783644e-07,3.5890938e-07,1311004,-0.01563112,-0.0015055668,-0.034001246,0.4,0.0013567818,0.0013637206,0.00078123936,197644,0.0121409055,-0.0051030065,-0.0013440406,0.5,1.8456922e-05,4.2435124e-05,5.2224037e-05,1,1,1,0,1,0
21731264000,21731184000,1311004,0.0009717694,8.099183e-05,-0.00025386643,0.34906584,1.3783546e-07,1.378401e-07,3.5883983e-07,1311004,-0.01563145,-0.0015046276,-0.032203637,0.4,0.0013568101,0.0013637496,0.00078123936,197644,0.0121409055,-0.0051030065,-0.0013440406,0.5,1.8456922e-05,4.2435124e-05,5.2224037e-05,1,1,1,0,1,0
21732264000,21732184000,1311004,0.00097412587,8.2171435e-05,-0.0002473005,0.34906584,1.3917867e-07,1.3918161e-07,3.5890875e-07,1311004,-0.015632365,-0.0015054947,-0.0318774,0.4,0.0013568784,0.0013638188,0.00078124227,197644,0.0121409055,-0.0051030065,-0.0013440406,0.5,1.8456922e-05,4.2435124e-05,5.2224037e-05,1,1,1,0,1,0
21732304000,21732224000,1311004,0.0009830483,8.27869e-05,-0.000246983,0.34906584,1.3784162e-07,1.3784349e-07,3.586608e-07,1311004,-0.015635753,-0.0015054651,-0.029279692,0.4,0.00135688,0.0013638195,0.00078123936,197644,0.0121409055,-0.0051030065,-0.0013440406,0.5,1.8456922e-05,4.2435124e-05,5.2224037e-05,1,1,1,0,1,0
21732512000,21732432000,1311004,0.0009782057,9.381323e-05,-0.00024699062,0.34906584,1.3785169e-07,1.3785302e-07,3.586244e-07,1311004,-0.015637366,-0.0015096612,-0.02446476,0.4,0.00135689,0.0013638302,0.00078123936,197644,0.0121409055,-0.0051030065,-0.0013440406,0.5,1.8456922e-05,4.2435124e-05,5.2224037e-05,1,1,1,0,1,0
