timestamp,airspeed_timestamp_rel,airspeed_validated_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
1743177449813379,32767,32767,32767,32767,32767,32767,32767
1743177449817379,32767,32767,32767,32767,32767,32767,32767
1743177449821379,32767,32767,32767,32767,32767,32767,32767
1743177449825379,32767,32767,32767,32767,32767,32767,32767
1743177449829379,32767,32767,32767,32767,32767,32767,32767
1743177449833379,32767,32767,32767,32767,32767,32767,32767
1743177449837379,32767,32767,32767,32767,32767,32767,32767
1743177449841379,32767,32767,32767,32767,32767,32767,32767
1743177449845379,32767,32767,32767,32767,32767,32767,32767
1743177449849379,32767,32767,32767,32767,32767,32767,32767
1743177449853379,32767,32767,32767,32767,32767,32767,32767
1743177449857379,32767,32767,32767,32767,32767,32767,32767
1743177449861379,32767,32767,32767,32767,-40,32767,32767
1743177449865379,32767,32767,32767,32767,32767,32767,32767
1743177449869379,32767,32767,32767,32767,32767,32767,32767
1743177449873379,32767,32767,32767,32767,32767,32767,32767
1743177449877379,32767,32767,32767,32767,32767,32767,32767
1743177449881379,32767,32767,32767,32767,32767,32767,32767
1743177449885379,32767,32767,32767,32767,32767,32767,32767
1743177449889379,32767,32767,32767,32767,32767,32767,32767
1743177449893379,32767,32767,32767,32767,32767,32767,32767
1743177449897379,32767,32767,32767,32767,32767,0,32767
1743177449901379,32767,32767,32767,32767,32767,32767,32767
1743177449905379,32767,32767,32767,32767,32767,32767,32767
1743177449909379,32767,32767,32767,32767,0,-40,32767
1743177449913379,32767,32767,32767,32767,32767,32767,32767
1743177449917379,32767,32767,32767,32767,32767,32767,32767
1743177449921379,32767,32767,32767,32767,32767,32767,32767
1743177449925379,32767,32767,32767,32767,32767,32767,32767
1743177449929379,32767,32767,32767,32767,32767,32767,32767
1743177449933379,32767,32767,32767,32767,32767,32767,32767
1743177449937379,32767,32767,32767,32767,32767,32767,32767
1743177449941379,32767,32767,32767,32767,32767,32767,32767
1743177449945379,32767,32767,32767,32767,32767,32767,32767
1743177449949379,32767,32767,32767,32767,32767,32767,32767
1743177449953379,32767,32767,32767,32767,32767,32767,32767
1743177449957379,32767,32767,32767,32767,32767,32767,32767
1743177449961379,32767,32767,32767,32767,32767,32767,32767
1743177449965379,32767,32767,32767,32767,-40,32767,32767
1743177449969379,32767,32767,32767,32767,32767,32767,32767
1743177449973379,32767,32767,32767,32767,32767,32767,32767
1743177449977379,32767,32767,32767,32767,32767,32767,32767
1743177449981379,32767,32767,32767,32767,32767,32767,32767
1743177449985379,32767,32767,32767,32767,32767,32767,32767
1743177449989379,32767,32767,32767,32767,32767,32767,32767
1743177449993379,32767,32767,32767,32767,32767,32767,32767
1743177449997379,32767,32767,32767,32767,32767,32767,32767
1743177450001379,32767,32767,32767,32767,32767,32767,32767
1743177450005379,32767,32767,32767,32767,32767,32767,32767
1743177450009379,32767,32767,32767,32767,32767,32767,32767
1743177450013379,32767,32767,32767,32767,32767,32767,32767
1743177450017379,32767,32767,32767,32767,-40,32767,32767
1743177450021379,32767,32767,32767,32767,32767,32767,32767
1743177450025379,32767,32767,32767,32767,32767,32767,32767
1743177450029379,32767,32767,32767,32767,32767,32767,32767
1743177450033379,32767,32767,32767,32767,32767,0,32767
1743177450037379,32767,32767,32767,32767,32767,32767,32767
1743177450041379,32767,32767,32767,32767,32767,32767,32767
1743177450045379,32767,32767,32767,32767,32767,-40,32767
1743177450049379,32767,32767,32767,32767,32767,32767,32767
1743177450053379,32767,32767,32767,32767,32767,32767,32767
1743177450057379,32767,32767,32767,32767,32767,32767,32767
1743177450061379,32767,32767,32767,32767,32767,32767,32767
1743177450065379,32767,32767,32767,32767,0,32767,32767
1743177450069379,32767,32767,32767,32767,32767,32767,32767
1743177450073379,32767,32767,32767,32767,32767,32767,32767
1743177450077379,32767,32767,32767,32767,32767,32767,32767
1743177450081379,32767,32767,32767,32767,32767,32767,32767
1743177450085379,32767,32767,32767,32767,32767,32767,32767
1743177450089379,32767,32767,32767,32767,32767,32767,32767
1743177450093379,32767,32767,32767,32767,32767,32767,32767
1743177450097379,32767,32767,32767,32767,32767,32767,32767
1743177450101379,32767,32767,32767,32767,32767,32767,32767
1743177450105379,32767,32767,32767,32767,32767,32767,32767
1743177450109379,32767,32767,32767,32767,32767,32767,32767
1743177450113379,32767,32767,32767,32767,32767,32767,32767
1743177450117379,32767,32767,32767,32767,32767,32767,32767
1743177450121379,32767,32767,32767,32767,-40,32767,32767
1743177450125379,32767,32767,32767,32767,32767,32767,32767
1743177450129379,32767,32767,32767,32767,32767,32767,32767
1743177450133379,32767,32767,32767,32767,32767,32767,32767
1743177450137379,32767,32767,32767,32767,32767,32767,32767
1743177450141379,32767,32767,32767,32767,32767,32767,32767
1743177450145379,32767,32767,32767,32767,32767,32767,32767
1743177450149379,32767,32767,32767,32767,32767,32767,32767
1743177450153379,32767,32767,32767,32767,32767,32767,32767
1743177450157379,32767,32767,32767,32767,32767,32767,32767
1743177450161379,32767,32767,32767,32767,32767,32767,32767
1743177450165379,32767,32767,32767,32767,32767,32767,32767
1743177450169379,32767,32767,32767,32767,32767,32767,32767
1743177450173379,32767,32767,32767,32767,-40,-40,32767
1743177450177379,32767,32767,32767,32767,32767,32767,32767
1743177450181379,32767,32767,32767,32767,32767,-40,32767
1743177450185379,32767,32767,32767,32767,32767,32767,32767
1743177450189379,32767,32767,32767,32767,32767,32767,32767
1743177450193379,32767,32767,32767,32767,32767,32767,32767
1743177450197379,32767,32767,32767,32767,32767,32767,32767
1743177450201379,32767,32767,32767,32767,32767,32767,32767
1743177450205379,32767,32767,32767,32767,32767,32767,32767
1743177450209379,32767,32767,32767,32767,32767,32767,32767
1743177450213379,32767,32767,32767,32767,32767,32767,32767
1743177450217379,32767,32767,32767,32767,32767,32767,32767
1743177450221379,32767,32767,32767,32767,32767,32767,32767
1743177450225379,32767,32767,32767,32767,-40,32767,32767
1743177450229379,32767,32767,32767,32767,32767,32767,32767
1743177450233379,32767,32767,32767,32767,32767,32767,32767
1743177450237379,32767,32767,32767,32767,32767,32767,32767
1743177450241379,32767,32767,32767,32767,32767,32767,32767
1743177450245379,32767,32767,32767,32767,32767,32767,32767
1743177450249379,32767,32767,32767,32767,32767,32767,32767
1743177450253379,32767,32767,32767,32767,32767,32767,32767
1743177450257379,32767,32767,32767,32767,32767,32767,32767
1743177450261379,32767,32767,32767,32767,32767,32767,32767
1743177450265379,32767,32767,32767,32767,32767,32767,32767
1743177450269379,32767,32767,32767,32767,32767,32767,32767
1743177450273379,32767,32767,32767,32767,32767,32767,32767
1743177450277379,32767,32767,32767,32767,-40,32767,32767
1743177450281379,32767,32767,32767,32767,32767,32767,32767
1743177450285379,32767,32767,32767,32767,32767,32767,32767
1743177450289379,32767,32767,32767,32767,32767,32767,32767
1743177450293379,32767,32767,32767,32767,32767,32767,32767
1743177450297379,32767,32767,32767,32767,32767,32767,32767
1743177450301379,32767,32767,32767,32767,32767,32767,32767
1743177450305379,32767,32767,32767,32767,32767,32767,32767
1743177450309379,32767,32767,32767,32767,32767,-40,32767
1743177450313379,32767,32767,32767,32767,32767,32767,32767
1743177450317379,32767,32767,32767,32767,32767,-40,32767
1743177450321379,32767,32767,32767,32767,32767,32767,32767
1743177450325379,32767,32767,32767,32767,0,32767,32767
1743177450329379,32767,32767,32767,32767,32767,32767,32767
1743177450333379,32767,32767,32767,32767,32767,32767,32767
1743177450337379,32767,32767,32767,32767,32767,32767,32767
1743177450341379,32767,32767,32767,32767,32767,32767,32767
1743177450345379,32767,32767,32767,32767,32767,32767,32767
1743177450349379,32767,32767,32767,32767,32767,32767,32767
1743177450353379,32767,32767,32767,32767,32767,32767,32767
1743177450357379,32767,32767,32767,32767,32767,32767,32767
1743177450361379,32767,32767,32767,32767,32767,32767,32767
1743177450365379,32767,32767,32767,32767,32767,32767,32767
1743177450369379,32767,32767,32767,32767,32767,32767,32767
1743177450373379,32767,32767,32767,32767,32767,32767,32767
1743177450377379,32767,32767,32767,32767,32767,32767,32767
1743177450381379,32767,32767,32767,32767,-40,32767,32767
1743177450385379,32767,32767,32767,32767,32767,32767,32767
1743177450389379,32767,32767,32767,32767,32767,32767,32767
