timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err,check_fail_spoofed_gps
1743177449789379,1743177449635217,0.0,0.0,5.041462e-05,1,0,0,0,0,0,0,0,0,0,0,0
1743177449845379,1743177449687226,0.0,0.0,5.0152415e-05,1,0,0,0,0,0,0,0,0,0,0,0
1743177449893379,1743177449739237,0.0,0.0,4.989157e-05,1,0,0,0,0,0,0,0,0,0,0,0
1743177449949379,1743177449791245,0.0,0.0,7.1890034e-05,1,0,0,0,0,0,0,0,0,0,0,0
1743177449997379,1743177449843254,0.0,0.0,7.151614e-05,1,0,0,0,0,0,0,0,0,0,0,0
1743177450053379,1743177449895261,0.0,0.0,7.1144204e-05,1,0,0,0,0,0,0,0,0,0,0,0
1743177450101379,1743177449947269,0.0,0.0,7.077419e-05,1,0,0,0,0,0,0,0,0,0,0,0
1743177450157379,1743177449999276,0.0,0.0,7.0406124e-05,1,0,0,0,0,0,0,0,0,0,0,0
1743177450205379,1743177450051283,0.0,0.0,5.0801034e-05,1,0,0,0,0,0,0,0,0,0,0,0
1743177450261379,1743177450103289,0.0,0.00010000002,5.0536837e-05,1,0,0,0,0,0,0,0,0,0,0,0
1743177450309379,1743177450155295,0.0,5.200636e-07,5.0274015e-05,1,0,0,0,0,0,0,0,0,0,0,0
1743177450365379,1743177450207300,0.0,9.948266e-05,5.0012564e-05,1,0,0,0,0,0,0,0,0,0,0,0
1743177450413379,1743177450259305,0.0,1.0347139e-06,4.9752474e-05,1,0,0,0,0,0,0,0,0,0,0,0
1743177450469379,1743177450311309,0.0,1.029333e-06,4.949374e-05,1,0,0,0,0,0,0,0,0,0,0,0
1743177450517379,1743177450363314,0.0,1.02398e-06,4.5734564e-06,1,0,0,0,0,0,0,0,0,0,0,0
1743177450573379,1743177450415318,0.0,1.0186549e-06,4.5496727e-06,1,0,0,0,0,0,0,0,0,0,0,0
1743177450621379,1743177450467322,0.0,1.0133575e-06,4.5260126e-06,1,0,0,0,0,0,0,0,0,0,0,0
1743177450677379,1743177450519326,0.0,1.0080877e-06,5.5561948e-05,1,0,0,0,0,0,0,0,0,0,0,0
1743177450725379,1743177450571329,0.0,1.0028452e-06,5.5273005e-05,1,0,0,0,0,0,0,0,0,0,0,0
