timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
1743177449809379,0.003219232,-0.00090652716,0.00038567005,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1743177449817379,-0.0032135698,-0.0030347393,0.00042611227,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1743177450009379,0.001866531,0.0005364147,0.00014984897,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1743177450209379,-0.00063673645,0.0022108913,-0.011360435,0.0,0.0,-2.3283064e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1743177450409379,-0.00027671966,0.0,-0.0012680853,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1743177450609379,0.00025867263,-5.820766e-11,-3.274181e-11,0.0,0.0,-1.1641532e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1743177450809379,0.0029649746,-9.5427735e-05,-0.00025036032,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1743177451009379,0.0012249558,0.00023581169,-0.00035941962,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1743177451209379,0.0012050838,0.0012913469,-0.0003878797,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1743177451409379,-0.0006610943,-0.0028112666,-0.0003587893,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1743177451609379,-0.0012116211,-0.00012052222,0.0002906975,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1743177451809379,1.1641532e-10,-4.3655746e-11,2.910383e-11,0.0,0.0,-1.1641532e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1743177452009379,0.00070247665,4.522456e-05,0.000193728,0.0,0.0,-1.1641532e-10,0,1,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1743177452209379,0.0026569883,-0.001741949,-0.0006007591,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
