timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
1743177449413379,0,1,1,1,1,1,1,0,0,0,1,1
1743177450053379,0,1,1,1,0,0,1,0,0,0,1,1
1743177450077379,0,1,1,1,1,1,1,0,0,0,1,1
1743177451077379,0,1,1,1,1,1,1,0,0,0,1,1
1743177452077379,0,1,1,1,1,1,1,0,0,0,1,1
1743177453077379,0,1,1,1,1,1,1,0,0,0,1,1
1743177454077379,0,1,1,1,1,1,1,0,0,0,1,1
1743177455077379,0,1,1,1,1,1,1,0,0,0,1,1
1743177456077379,0,1,1,1,1,1,1,0,0,0,1,1
1743177456269379,0,1,0,0,1,1,1,0,0,0,1,0
1743177456453379,0,0,0,0,1,0,1,0,0,0,1,0
1743177457453379,0,0,0,0,1,0,0,0,0,0,1,0
1743177458453379,0,0,0,0,1,0,0,1,0,0,1,0
1743177458541379,0,0,0,0,0,0,0,1,0,0,1,0
1743177459541379,0,0,0,0,0,0,0,1,0,0,1,0
1743177460541379,0,0,0,0,0,0,0,1,0,0,1,0
1743177461541379,0,0,0,0,0,0,0,1,0,0,1,0
1743177462541379,0,0,0,0,0,0,0,1,0,0,1,0
1743177463541379,0,0,0,0,0,0,0,1,0,0,1,0
1743177464541379,0,0,0,0,0,0,0,1,0,0,1,0
1743177465541379,0,0,0,0,0,0,0,1,0,0,1,0
1743177466541379,0,0,0,0,0,0,0,1,0,0,1,0
1743177467541379,0,0,0,0,0,0,0,1,0,0,1,0
1743177468541379,0,0,0,0,0,0,0,1,0,0,1,0
1743177469541379,0,0,0,0,0,0,0,1,0,0,1,0
1743177470541379,0,0,0,0,0,0,0,1,0,1,1,0
1743177471541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177472541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177473541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177474541379,0,0,0,0,0,0,0,0,1,1,1,0
1743177475541379,0,0,0,0,0,0,0,0,1,1,1,0
1743177476541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177477541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177478541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177479541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177480541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177481541379,0,0,0,0,0,0,0,0,0,1,1,0
1743177482541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177483541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177484541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177485541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177486541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177487541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177488541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177489541379,0,0,0,0,0,0,0,0,0,1,1,0
1743177490541379,0,0,0,0,0,0,0,0,1,1,1,0
1743177491541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177492541379,0,0,0,0,0,0,0,0,0,1,1,0
1743177493541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177494541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177495541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177496541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177497541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177498541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177499541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177500541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177501541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177502541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177503541379,0,0,0,0,0,0,0,0,0,1,1,0
1743177504541379,0,0,0,0,0,0,0,0,1,1,1,0
1743177505541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177506541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177507541379,0,0,0,0,0,0,0,0,1,0,1,0
1743177508541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177509541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177510541379,0,0,0,0,0,0,0,0,1,1,1,0
1743177511541379,0,0,0,0,0,0,0,0,1,1,1,0
1743177512541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177513541379,0,0,0,0,0,0,0,0,0,1,1,0
1743177514541379,0,0,0,0,0,0,0,0,1,1,1,0
1743177515541379,0,0,0,0,0,0,0,0,0,0,1,0
1743177516541379,0,0,0,0,0,0,0,0,0,1,1,0
