timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
21726244000,21726126000,0.0004457329,7.4577314e-05,0.0011081094,1,0,0,0,0,0,0,0,0,0,0
21726612000,21726490000,0.0004295082,0.0005724146,0.0010677741,1,0,0,0,0,0,0,0,0,0,0
21726820000,21726698000,0.0008914368,0.0011394279,0.0010443933,1,0,0,0,0,0,0,0,0,0,0
21727028000,21726910000,0.00087253837,0.00081537943,0.001022252,1,0,0,0,0,0,0,0,0,0,0
21727236000,21727114000,0.0008547386,0.0003994512,0.0010013981,1,0,0,0,0,0,0,0,0,0,0
21727444000,21727326000,0.00083661807,0.0012914687,0.0009801685,1,0,0,0,0,0,0,0,0,0,0
21727804000,21727686000,0.00080649985,0.00034519305,0.00023788586,1,0,0,0,0,0,0,0,0,0,0
21728012000,21727894000,0.0004663172,0.0001615012,0.0003656269,1,0,0,0,0,0,0,0,0,0,0
21728220000,21728102000,0.000666898,5.875842e-05,0.00021387091,1,0,0,0,0,0,0,0,0,0,0
21728428000,21728310000,0.0008062654,0.00035724675,0.00020933685,1,0,0,0,0,0,0,0,0,0,0
21728636000,21728518000,0.0009219119,0.00035062066,0.00040057438,1,0,0,0,0,0,0,0,0,0,0
21728844000,21728722000,0.0006655118,0.00024384924,0.0003920822,1,0,0,0,0,0,0,0,0,0,0
21729204000,21729090000,0.0006415534,0.00053491455,0.00073410926,1,0,0,0,0,0,0,0,0,0,0
21729412000,21729298000,0.00062820903,2.3034032e-05,0.00030821268,1,0,0,0,0,0,0,0,0,0,0
21729620000,21729502000,0.00048959086,0.0003222889,0.00030180183,1,0,0,0,0,0,0,0,0,0,0
21729836000,21729714000,0.0004792115,0.00061611814,0.000103649305,1,0,0,0,0,0,0,0,0,0,0
21730044000,21729922000,0.00046924388,0.00070336653,0.00035302245,1,0,0,0,0,0,0,0,0,0,0
21730404000,21730286000,0.0004521634,0.0009771195,0.0007988767,1,0,0,0,0,0,0,0,0,0,0
21730612000,21730494000,0.0008422324,0.0008570788,0.0009901349,1,0,0,0,0,0,0,0,0,0,0
21730820000,21730702000,0.0008247139,0.00016128297,0.00055388623,1,0,0,0,0,0,0,0,0,0,0
21731028000,21730910000,0.00045920067,0.0007574863,0.00040934692,1,0,0,0,0,0,0,0,0,0,0
21731236000,21731118000,0.0004496493,5.8381767e-05,0.0007259593,1,0,0,0,0,0,0,0,0,0,0
21731444000,21731326000,0.0004402966,0.0008577192,0.00082561484,1,0,0,0,0,0,0,0,0,0,0
