timestamp,latitude,longitude,time_inside,acceptance_radius,loiter_radius,yaw,altitude,sequence_current,nav_cmd,frame,origin,loiter_exit_xtrack,force_heading,altitude_is_relative,autocontinue,vtol_back_transition
1743177458537379,52.51486,13.325424,0.0,1.0,0.0,nan,24.994036,0,31,0,0,0,0,0,1,0
1743177469453379,52.51486,13.325424,0.5,1.0,0.0,nan,25.0,0,16,0,0,0,0,1,1,0
1743177470005379,52.51486,13.32538,0.5,1.0,0.0,nan,25.0,1,16,0,0,0,0,1,1,0
1743177473381379,52.514732,13.325173,0.5,1.0,0.0,nan,25.0,2,16,0,0,0,0,1,1,0
1743177481349379,52.514732,13.3248625,0.5,1.0,0.0,nan,25.0,3,16,0,0,0,0,1,1,0
1743177488957379,52.514713,13.324833,0.5,1.0,0.0,nan,25.0,4,16,0,0,0,0,1,1,0
1743177491877379,52.514713,13.324346,0.5,1.0,0.0,nan,25.0,5,16,0,0,0,0,1,1,0
1743177502413379,52.514618,13.3241825,0.5,1.0,0.0,nan,25.0,6,16,0,0,0,0,1,1,0
1743177509165379,52.514618,13.324094,0.5,1.0,0.0,nan,25.0,7,16,0,0,0,0,1,1,0
1743177512893379,52.514587,13.32405,0.5,1.0,0.0,nan,25.0,8,16,0,0,0,0,1,1,0
1743177516325379,52.514587,13.323547,0.5,1.0,0.0,nan,25.0,9,16,0,0,0,0,1,1,0
1743177527357379,52.514572,13.323518,0.5,1.0,0.0,nan,25.0,10,16,0,0,0,0,1,1,0
1743177530077379,52.514572,13.323459,0.5,1.0,0.0,nan,25.0,11,16,0,0,0,0,1,1,0
1743177533157379,52.51456,13.323444,0.5,1.0,0.0,nan,25.0,12,16,0,0,0,0,1,1,0
1743177534917379,52.51456,13.323415,0.5,1.0,0.0,nan,25.0,13,16,0,0,0,0,1,1,0
1743177536989379,52.514534,13.32337,0.5,1.0,0.0,nan,25.0,14,16,0,0,0,0,1,1,0
1743177540461379,52.514534,13.323252,0.5,1.0,0.0,nan,25.0,15,16,0,0,0,0,1,1,0
1743177544797379,52.514526,13.323237,0.5,1.0,0.0,nan,25.0,16,16,0,0,0,0,1,1,0
1743177546613379,52.514526,13.323015,0.5,1.0,0.0,nan,25.0,17,16,0,0,0,0,1,1,0
1743177555485379,52.51486,13.322469,0.5,1.0,0.0,nan,25.0,18,16,0,0,0,0,1,1,0
1743177571633379,52.514854,13.322473,0.0,2.0,80.0,nan,24.938358,18,17,1,0,0,0,0,0,0
