timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
1743177450501379,4000000.0,1.0,25198.209,0.0,423,0,25.896416,2,254,0,0,0,127.0,0,2,0,1,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177451333379,4000000.0,1.0,25198.209,0.0,775,0,25.896416,4,508,0,0,0,127.0,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177452121379,4000000.0,1.0,26291.834,0.0,1122,0,111.55379,7,1016,0,0,0,145.14285,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177453705379,4000000.0,1.0,26379.484,0.0,1832,0,143.4263,25,2275,0,0,0,91.0,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177454485379,4000000.0,1.0,26379.484,0.0,2159,0,143.4263,36,2520,0,0,0,70.0,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177455265379,4000000.0,1.0,26012.95,0.0,2512,0,978.0877,41,3026,0,0,0,73.80488,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177455993379,4000000.0,1.0,26949.205,0.0,2844,0,178.28687,43,3280,0,0,0,76.27907,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177457625379,4000000.0,1.0,26981.076,0.0,3562,0,63.74502,48,4042,0,0,0,84.208336,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177458401379,4000000.0,1.0,26981.076,0.0,3895,0,63.74502,49,4042,0,0,0,82.4898,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177459217379,4000000.0,1.0,26642.432,0.0,4257,0,111.55379,52,4295,0,0,0,82.59615,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177459997379,4000000.0,1.0,26919.324,0.0,4606,0,46.81275,54,4549,0,0,0,84.24074,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177461557379,4000000.0,1.0,26737.053,0.0,5292,0,63.74502,59,5311,0,0,0,90.01695,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177462385379,4000000.0,1.0,26737.053,0.0,5639,0,63.74502,60,5311,0,0,0,88.51667,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177463149379,4000000.0,1.0,26529.883,0.0,5980,0,67.72909,62,5565,0,0,0,89.758064,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177464677379,4000000.0,1.0,26483.068,0.0,6652,0,46.81275,66,6073,0,0,0,92.01515,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177465493379,4000000.0,1.0,26483.068,0.0,7023,0,46.81275,69,6581,0,0,0,95.37681,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177466289379,4000000.0,1.0,27095.62,0.0,7365,0,84.661354,70,6581,0,0,0,94.01428,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177467749379,4000000.0,1.0,26695.22,0.0,8004,0,46.81275,74,7089,0,0,0,95.797295,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177468525379,4000000.0,1.0,26695.22,0.0,8346,0,46.81275,76,7343,0,0,0,96.61842,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177469357379,4000000.0,1.0,26632.47,0.0,8702,0,67.72909,78,7597,0,0,0,97.39744,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177470137379,4000000.0,1.0,26754.982,0.0,9050,0,63.74502,80,7851,0,0,0,98.1375,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177471669379,4000000.0,1.0,26756.973,0.0,9726,0,46.81275,84,8359,0,0,0,99.5119,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177472457379,4000000.0,1.0,26756.973,0.0,10064,0,46.81275,85,8359,0,0,0,98.34118,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177473269379,4000000.0,1.0,26528.887,0.0,10422,0,67.72909,88,8612,0,0,0,97.86364,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177473985379,4000000.0,1.0,27573.707,0.0,10741,0,63.74502,90,8866,0,0,0,98.51111,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177475597379,4000000.0,1.0,26779.883,0.0,11461,0,67.72909,94,9374,0,0,0,99.723404,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177476401379,4000000.0,1.0,26779.883,0.0,11804,0,67.72909,95,9374,0,0,0,98.67368,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177477209379,4000000.0,1.0,26517.93,0.0,12162,0,46.81275,98,9627,0,0,0,98.234695,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177478001379,4000000.0,1.0,26722.113,0.0,12514,0,63.74502,100,9881,0,0,0,98.81,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177479653379,4000000.0,1.0,26741.037,0.0,13236,0,46.81275,104,10389,0,0,0,99.89423,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177480433379,4000000.0,1.0,26741.037,0.0,13574,0,46.81275,105,10389,0,0,0,98.942856,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177481225379,4000000.0,1.0,26526.895,0.0,13924,0,67.72909,108,10642,0,0,0,98.53704,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177482045379,4000000.0,1.0,26762.95,0.0,14286,0,63.74502,110,10896,0,0,0,99.05454,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177483605379,4000000.0,1.0,26834.662,0.0,14980,0,46.81275,114,11404,0,0,0,100.03509,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177484401379,4000000.0,1.0,26852.592,0.0,15322,0,67.72909,115,11404,0,0,0,99.165215,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177485197379,4000000.0,1.0,26478.09,0.0,15674,0,46.81275,118,11657,0,0,0,98.78814,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177486689379,4000000.0,1.0,26550.799,0.0,16337,0,46.81275,122,12165,0,0,0,99.71311,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177487505379,4000000.0,1.0,26550.799,0.0,16696,0,46.81275,124,12419,0,0,0,100.15323,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177488297379,4000000.0,1.0,26684.264,0.0,17037,0,67.72909,125,12419,0,0,0,99.352,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177489065379,4000000.0,1.0,26687.252,0.0,17372,0,46.81275,128,12672,0,0,0,99.0,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177490573379,4000000.0,1.0,26756.973,0.0,18038,0,63.74502,132,13180,0,0,0,99.84849,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177491401379,4000000.0,1.0,26860.559,0.0,18398,0,67.72909,133,13180,0,0,0,99.09775,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177492237379,4000000.0,1.0,26722.113,0.0,18768,0,46.81275,135,13434,0,0,0,99.51111,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177493017379,4000000.0,1.0,26557.77,0.0,19113,0,46.81275,138,13687,0,0,0,99.18116,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177494525379,4000000.0,1.0,26889.443,0.0,19780,0,63.74502,142,14195,0,0,0,99.96479,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177495365379,4000000.0,1.0,26477.094,0.0,20138,0,67.72909,143,14195,0,0,0,99.26573,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177496153379,4000000.0,1.0,26790.838,0.0,20488,0,46.81275,145,14449,0,0,0,99.64828,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177497729379,4000000.0,1.0,26731.076,0.0,21189,0,63.74502,150,14956,0,0,0,99.706665,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177498489379,4000000.0,1.0,26731.076,0.0,21529,0,63.74502,151,14956,0,0,0,99.04636,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177499309379,4000000.0,1.0,27423.309,0.0,21878,0,67.72909,153,15210,0,0,0,99.411766,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177500089379,4000000.0,1.0,26684.264,0.0,22228,0,46.81275,155,15464,0,0,0,99.76774,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177501649379,4000000.0,1.0,26535.857,0.0,22911,0,46.81275,160,15971,0,0,0,99.81875,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177502429379,4000000.0,1.0,26817.73,0.0,23248,0,84.661354,161,15971,0,0,0,99.19876,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177503261379,4000000.0,1.0,26478.09,0.0,23611,0,46.81275,163,16225,0,0,0,99.53988,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177504041379,4000000.0,1.0,26840.639,0.0,23957,0,46.81275,165,16479,0,0,0,99.87273,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177505601379,4000000.0,1.0,26511.953,0.0,24653,0,46.81275,170,16986,0,0,0,99.91765,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177506401379,4000000.0,1.0,26806.773,0.0,24995,0,84.661354,171,16986,0,0,0,99.333336,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177507213379,4000000.0,1.0,26513.945,0.0,25352,0,46.81275,173,17240,0,0,0,99.65318,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177508721379,4000000.0,1.0,26981.076,0.0,26018,0,46.81275,178,17747,0,0,0,99.70225,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177509501379,4000000.0,1.0,26734.064,0.0,26370,0,84.661354,180,18001,0,0,0,100.005554,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177510333379,4000000.0,1.0,26695.22,0.0,26724,0,46.81275,181,18001,0,0,0,99.45304,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177511113379,4000000.0,1.0,26528.887,0.0,27066,0,46.81275,183,18255,0,0,0,99.7541,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177512569379,4000000.0,1.0,26800.799,0.0,27711,0,46.81275,188,18762,0,0,0,99.797874,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177513401379,4000000.0,1.0,26500.998,0.0,28074,0,84.661354,189,18762,0,0,0,99.269844,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177514181379,4000000.0,1.0,26868.527,0.0,28414,0,46.81275,191,19016,0,0,0,99.56021,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177515741379,4000000.0,1.0,26550.799,0.0,29106,0,46.81275,195,19524,0,0,0,100.12308,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177516509379,4000000.0,1.0,27069.723,0.0,29450,0,67.72909,198,19777,0,0,0,99.883835,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177517297379,4000000.0,1.0,26566.734,0.0,29789,0,63.74502,199,19777,0,0,0,99.38191,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177518081379,4000000.0,1.0,26683.268,0.0,30128,0,46.81275,201,20031,0,0,0,99.656715,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177519589379,4000000.0,1.0,26709.164,0.0,30808,0,46.81275,205,20539,0,0,0,100.19025,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177520401379,4000000.0,1.0,26697.213,0.0,31153,0,67.72909,207,20793,0,0,0,100.44927,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177521201379,4000000.0,1.0,26543.826,0.0,31503,0,63.74502,209,21047,0,0,0,100.70335,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177522765379,4000000.0,1.0,26797.81,0.0,32191,0,46.81275,213,21555,0,0,0,101.19718,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177523541379,4000000.0,1.0,26490.041,0.0,32539,0,67.72909,215,21809,0,0,0,101.43721,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177524373379,4000000.0,1.0,27506.973,0.0,32894,0,46.81275,217,22063,0,0,0,101.67281,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177525153379,4000000.0,1.0,26555.777,0.0,33236,0,63.74502,219,22317,0,0,0,101.904106,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177526765379,4000000.0,1.0,26756.973,0.0,33949,0,46.81275,223,22825,0,0,0,102.35426,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177527493379,4000000.0,1.0,26516.934,0.0,34283,0,67.72909,225,23079,0,0,0,102.57333,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177528325379,4000000.0,1.0,26758.965,0.0,34637,0,46.81275,227,23333,0,0,0,102.78854,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177529101379,4000000.0,1.0,26696.217,0.0,34978,0,63.74502,229,23587,0,0,0,103.0,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177530717379,4000000.0,1.0,26684.264,0.0,35693,0,46.81275,233,24095,0,0,0,103.41202,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177531445379,4000000.0,1.0,26551.795,0.0,36003,0,67.72909,234,24095,0,0,0,102.970085,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177532277379,4000000.0,1.0,26791.834,0.0,36370,0,46.81275,237,24348,0,0,0,102.73418,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177533045379,4000000.0,1.0,26806.773,0.0,36708,0,63.74502,239,24602,0,0,0,102.93724,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177534513379,4000000.0,1.0,26851.596,0.0,37367,0,67.72909,243,25110,0,0,0,103.333336,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177535313379,4000000.0,1.0,26544.822,0.0,37708,0,46.81275,244,25110,0,0,0,102.909836,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177536125379,4000000.0,1.0,26756.973,0.0,38070,0,46.81275,247,25363,0,0,0,102.68421,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177537649379,4000000.0,1.0,26541.834,0.0,38745,0,63.74502,251,25871,0,0,0,103.07172,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177538425379,4000000.0,1.0,26765.938,0.0,39079,0,67.72909,252,25871,0,0,0,102.6627,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177539245379,4000000.0,1.0,26632.47,0.0,39434,0,46.81275,254,26125,0,0,0,102.85433,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177540077379,4000000.0,1.0,26706.176,0.0,39805,0,46.81275,257,26378,0,0,0,102.63813,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177541533379,4000000.0,1.0,26969.125,0.0,40457,0,84.661354,261,26886,0,0,0,103.0115,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177542365379,4000000.0,1.0,26724.105,0.0,40808,0,46.81275,262,26886,0,0,0,102.618324,0,2,0,1,1,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
