timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
829264000,829264000,-0.011654332,-0.010769345,0.0011646937,0.001,0.0,0.0,0.0,-1.0
829268000,829268000,-0.011410091,-0.010656576,0.001021978,0.001,0.0,0.0,0.0,-1.0
829316000,829316000,-0.010276095,-0.011123426,-9.648266e-05,0.001,0.0,0.0,0.0,-1.0
829364000,829364000,-0.010635875,-0.0110955285,-0.0010576176,0.001,0.0,0.0,0.0,-1.0
829416000,829416000,-0.01154995,-0.011275667,0.00014862626,0.001,0.0,0.0,0.0,-1.0
829464000,829464000,-0.010580932,-0.010970511,8.156834e-05,0.001,0.0,0.0,0.0,-1.0
829516000,829516000,-0.009088351,-0.011268587,0.00024404959,0.001,0.0,0.0,0.0,-1.0
829564000,829564000,-0.012988003,-0.010972834,-0.00026798068,0.001,0.0,0.0,0.0,-1.0
829612000,829612000,-0.011244243,-0.010556596,0.000732965,0.001,0.0,0.0,0.0,-1.0
829664000,829664000,-0.011969362,-0.01165162,0.00040286552,0.001,0.0,0.0,0.0,-1.0
829712000,829712000,-0.012289902,-0.010239404,8.9405316e-05,0.001,0.0,0.0,0.0,-1.0
829760000,829760000,-0.0091001345,-0.010858112,-0.00021899262,0.001,0.0,0.0,0.0,-1.0
829816000,829816000,-0.011015124,-0.010486763,-0.00020913263,0.001,0.0,0.0,0.0,-1.0
829864000,829864000,-0.012186149,-0.009664348,0.00067536783,0.001,0.0,0.0,0.0,-1.0
829916000,829916000,-0.012140032,-0.011283261,-0.00024695936,0.001,0.0,0.0,0.0,-1.0
829964000,829964000,-0.010409354,-0.010556032,0.0010784244,0.001,0.0,0.0,0.0,-1.0
830016000,830016000,-0.010613006,-0.010905057,-4.5056223e-07,0.001,0.0,0.0,0.0,-1.0
830064000,830064000,-0.011579762,-0.0104202805,-0.0002069586,0.001,0.0,0.0,0.0,-1.0
830116000,830116000,-0.011466947,-0.010938293,8.2446524e-05,0.001,0.0,0.0,0.0,-1.0
830164000,830164000,-0.011049463,-0.010936009,0.0003119739,0.001,0.0,0.0,0.0,-1.0
830212000,830212000,-0.011984149,-0.01034912,0.0010388846,0.001,0.0,0.0,0.0,-1.0
830264000,830264000,-0.011530861,-0.011244399,-0.00035474377,0.001,0.0,0.0,0.0,-1.0
830316000,830316000,-0.0095569845,-0.011267905,-0.0007032725,0.001,0.0,0.0,0.0,-1.0
830360000,830360000,-0.012196115,-0.010672765,0.0003370236,0.001,0.0,0.0,0.0,-1.0
830416000,830416000,-0.012089209,-0.011417945,5.106524e-05,0.001,0.0,0.0,0.0,-1.0
830464000,830464000,-0.011740675,-0.011465148,0.00046424332,0.001,0.0,0.0,0.0,-1.0
830516000,830516000,-0.011018573,-0.010698083,-0.0004651922,0.001,0.0,0.0,0.0,-1.0
830564000,830564000,-0.011044609,-0.011247667,0.00049702,0.001,0.0,0.0,0.0,-1.0
830616000,830616000,-0.010137739,-0.010556092,-0.0006341954,0.001,0.0,0.0,0.0,-1.0
830664000,830664000,-0.011037113,-0.010626915,0.00037861636,0.001,0.0,0.0,0.0,-1.0
830716000,830716000,-0.011671865,-0.011102035,-0.00021444411,0.001,0.0,0.0,0.0,-1.0
830764000,830764000,-0.010888491,-0.010663384,-0.0009382575,0.001,0.0,0.0,0.0,-1.0
830816000,830816000,-0.012176307,-0.011233775,0.0003148577,0.001,0.0,0.0,0.0,-1.0
830864000,830864000,-0.010037988,-0.011020842,-0.00032096307,0.001,0.0,0.0,0.0,-1.0
830916000,830916000,-0.011184681,-0.011515271,-0.00029054596,0.001,0.0,0.0,0.0,-1.0
830964000,830964000,-0.010045608,-0.010807,0.00061847985,0.001,0.0,0.0,0.0,-1.0
831012000,831012000,-0.010862417,-0.011176244,0.0005743364,0.001,0.0,0.0,0.0,-1.0
