timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
829264000,32767,32767,32767,32767,32767,32767
829268000,32767,32767,32767,32767,32767,32767
829272000,32767,32767,32767,32767,32767,32767
829276000,32767,32767,32767,32767,32767,32767
829280000,32767,32767,32767,32767,32767,32767
829284000,32767,32767,32767,32767,32767,32767
829288000,32767,32767,32767,32767,32767,32767
829292000,32767,32767,32767,0,32767,32767
829296000,32767,32767,32767,32767,32767,32767
829300000,32767,32767,32767,32767,32767,32767
829304000,32767,32767,32767,32767,32767,32767
829308000,32767,32767,32767,32767,32767,32767
829312000,32767,32767,32767,32767,32767,32767
829316000,32767,32767,32767,32767,32767,32767
829320000,32767,32767,32767,32767,32767,32767
829324000,32767,32767,32767,32767,32767,32767
829328000,32767,32767,32767,32767,32767,32767
829332000,32767,32767,32767,32767,32767,32767
829336000,32767,32767,32767,32767,32767,32767
829340000,32767,32767,32767,32767,32767,32767
829344000,32767,32767,32767,-40,32767,32767
829348000,32767,32767,32767,32767,32767,32767
829352000,32767,32767,32767,32767,0,32767
829356000,32767,32767,32767,32767,32767,32767
829360000,32767,32767,32767,32767,32767,32767
829364000,32767,32767,32767,32767,32767,32767
829368000,32767,32767,32767,32767,-40,32767
829372000,32767,32767,32767,32767,32767,32767
829376000,32767,32767,32767,32767,32767,32767
829380000,32767,32767,32767,32767,32767,32767
829384000,32767,32767,32767,32767,32767,32767
829388000,32767,32767,32767,32767,32767,32767
829392000,32767,32767,32767,32767,32767,32767
829396000,32767,32767,32767,32767,32767,32767
829400000,32767,32767,32767,32767,32767,32767
829404000,32767,32767,32767,32767,32767,32767
829408000,32767,32767,32767,32767,32767,32767
829412000,32767,32767,32767,0,32767,32767
829416000,32767,32767,32767,32767,32767,32767
829420000,32767,32767,32767,32767,32767,32767
829424000,32767,32767,32767,32767,32767,32767
829428000,32767,32767,32767,32767,32767,32767
829432000,32767,32767,32767,32767,32767,32767
829436000,32767,32767,32767,32767,32767,32767
829440000,32767,32767,32767,32767,32767,32767
829444000,32767,32767,32767,32767,32767,32767
829448000,32767,32767,32767,32767,32767,32767
829452000,32767,32767,32767,32767,32767,32767
829456000,32767,32767,32767,32767,32767,32767
829460000,32767,32767,32767,32767,32767,32767
829464000,32767,32767,32767,-40,32767,32767
829468000,32767,32767,32767,32767,32767,32767
829472000,32767,32767,32767,32767,32767,32767
829476000,32767,32767,32767,32767,32767,32767
829480000,32767,32767,32767,32767,32767,32767
829484000,32767,32767,32767,32767,32767,32767
829488000,32767,32767,32767,32767,32767,32767
829492000,32767,32767,32767,32767,32767,32767
829496000,32767,32767,32767,32767,32767,32767
829500000,32767,32767,32767,32767,-40,32767
829504000,32767,32767,32767,32767,32767,32767
829508000,32767,32767,32767,32767,0,32767
829512000,32767,32767,32767,32767,32767,32767
829516000,32767,32767,32767,32767,32767,32767
829520000,32767,32767,32767,32767,32767,32767
829524000,32767,32767,32767,32767,32767,32767
829528000,32767,32767,32767,32767,32767,32767
829532000,32767,32767,32767,32767,32767,32767
829536000,32767,32767,32767,-40,32767,32767
829540000,32767,32767,32767,32767,32767,32767
829544000,32767,32767,32767,32767,32767,32767
829548000,32767,32767,32767,32767,32767,32767
829552000,32767,32767,32767,32767,32767,32767
829556000,32767,32767,32767,32767,32767,32767
829560000,32767,32767,32767,32767,32767,32767
829564000,32767,32767,32767,32767,32767,32767
829568000,32767,32767,32767,32767,32767,32767
829572000,32767,32767,32767,32767,32767,32767
829576000,32767,32767,32767,32767,32767,32767
829580000,32767,32767,32767,32767,32767,32767
829584000,32767,32767,32767,-40,32767,32767
829588000,32767,32767,32767,32767,32767,32767
829592000,32767,32767,32767,32767,32767,32767
829596000,32767,32767,32767,32767,32767,32767
829600000,32767,32767,32767,32767,32767,32767
829604000,32767,32767,32767,32767,32767,32767
829608000,32767,32767,32767,32767,32767,32767
829612000,32767,32767,32767,32767,32767,32767
829616000,32767,32767,32767,32767,32767,32767
829620000,32767,32767,32767,32767,32767,32767
829624000,32767,32767,32767,32767,32767,32767
829628000,32767,32767,32767,32767,32767,32767
829632000,32767,32767,32767,32767,32767,32767
829636000,32767,32767,32767,32767,32767,32767
829640000,32767,32767,32767,32767,32767,32767
829644000,32767,32767,32767,32767,-40,32767
829648000,32767,32767,32767,32767,32767,32767
829652000,32767,32767,32767,0,0,32767
829656000,32767,32767,32767,32767,32767,32767
829660000,32767,32767,32767,32767,32767,32767
829664000,32767,32767,32767,32767,32767,32767
829668000,32767,32767,32767,32767,32767,32767
829672000,32767,32767,32767,32767,32767,32767
829676000,32767,32767,32767,32767,32767,32767
829680000,32767,32767,32767,32767,32767,32767
829684000,32767,32767,32767,32767,32767,32767
829688000,32767,32767,32767,32767,32767,32767
829692000,32767,32767,32767,32767,32767,32767
829696000,32767,32767,32767,32767,32767,32767
829700000,32767,32767,32767,32767,32767,32767
829704000,32767,32767,32767,-40,32767,32767
829708000,32767,32767,32767,32767,32767,32767
829712000,32767,32767,32767,32767,32767,32767
829716000,32767,32767,32767,32767,32767,32767
829720000,32767,32767,32767,32767,32767,32767
829724000,32767,32767,32767,32767,32767,32767
829728000,32767,32767,32767,32767,32767,32767
829732000,32767,32767,32767,32767,32767,32767
829736000,32767,32767,32767,32767,32767,32767
829740000,32767,32767,32767,32767,32767,32767
829744000,32767,32767,32767,32767,32767,32767
829748000,32767,32767,32767,32767,32767,32767
829752000,32767,32767,32767,32767,32767,32767
829756000,32767,32767,32767,32767,32767,32767
829760000,32767,32767,32767,32767,32767,32767
829764000,32767,32767,32767,32767,32767,32767
829768000,32767,32767,32767,32767,32767,32767
829772000,32767,32767,32767,32767,32767,32767
829776000,32767,32767,32767,-40,32767,32767
829780000,32767,32767,32767,32767,32767,32767
