timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
829712000,829712000,0.8502939,0.010642838,0.0022595704,-0.52619576,0.99998516,1.8432958e-10,-2.209305e-11,-0.005459938,4
830216000,830216000,0.8502652,0.010662386,0.0023407752,-0.5262413,0.99998516,1.8432958e-10,-2.209305e-11,-0.005459938,4
830716000,830716000,0.8502988,0.010620525,0.0024110938,-0.52618766,0.99998516,1.8432958e-10,-2.209305e-11,-0.005459938,4
831216000,831216000,0.8502979,0.0106202485,0.0025348861,-0.5261883,0.99998516,1.8432958e-10,-2.209305e-11,-0.005459938,4
831716000,831716000,0.85038,0.01058352,0.002887282,-0.5260547,0.99998516,1.8432958e-10,-2.209305e-11,-0.005459938,4
832216000,832216000,0.8504597,0.010506574,0.0030280869,-0.5259265,0.99998516,1.8432958e-10,-2.209305e-11,-0.005459938,4
832716000,832716000,0.8504568,0.0105631305,0.003045988,-0.52593005,0.99998516,1.8432958e-10,-2.209305e-11,-0.005459938,4
833216000,833216000,0.8505616,0.010713375,0.0032007971,-0.5257566,0.99998516,1.8432958e-10,-2.209305e-11,-0.005459938,4
833716000,833716000,0.85053015,0.010672064,0.0031895412,-0.5258083,0.99998516,1.8432958e-10,-2.209305e-11,-0.005459938,4
834216000,834216000,0.850597,0.010662112,0.0030902752,-0.525701,0.99998516,1.8432958e-10,-2.209305e-11,-0.005459938,4
834716000,834716000,0.85060084,0.010733776,0.0033130744,-0.525692,0.99998516,1.8432958e-10,-2.209305e-11,-0.005459938,4
835216000,835216000,0.8506389,0.010790688,0.0032093802,-0.5256299,0.99998516,1.8432958e-10,-2.209305e-11,-0.005459938,4
835716000,835716000,0.85070884,0.010791662,0.0032418722,-0.52551657,0.99998516,1.8432958e-10,-2.209305e-11,-0.005459938,4
836216000,836216000,0.8506625,0.010813177,0.0034325735,-0.5255898,0.99998516,1.8432958e-10,-2.209305e-11,-0.005459938,4
836716000,836716000,0.851006,0.011245665,0.0034439752,-0.5250244,0.99998516,1.8432958e-10,-2.209305e-11,-0.005459938,4
837216000,837216000,0.85190314,0.006986437,0.008135103,-0.5235896,0.99998516,1.8432958e-10,-2.209305e-11,-0.005459938,4
837716000,837716000,0.85167634,0.010303677,0.0063980827,-0.52392787,0.99998516,1.8432958e-10,-2.209305e-11,-0.005459938,4
838216000,838216000,0.8516167,0.011913314,0.0057228245,-0.5239985,0.99998516,1.8432958e-10,-2.209305e-11,-0.005459938,4
838716000,838716000,0.85919034,0.013259991,0.0072373534,-0.5114331,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
839216000,839216000,0.8570361,0.01310248,0.007894364,-0.5150292,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
839716000,839716000,0.85602325,0.012810841,0.0077472744,-0.5167204,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
840216000,840216000,0.8552558,0.0140199475,0.0066056484,-0.51797444,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
840716000,840716000,0.85519266,0.014236495,0.010359091,-0.5180112,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
841216000,841216000,0.85702837,0.046716582,0.025277123,-0.51252407,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
841716000,841716000,0.85295975,0.1069592,0.06386836,-0.5068928,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
842216000,842216000,0.84580183,0.13777982,0.08929723,-0.5076042,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
842716000,842716000,0.84265804,0.14004248,0.102357544,-0.5097435,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
843216000,843216000,0.84097147,0.13462721,0.10480085,-0.51347774,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
843716000,843716000,0.841131,0.12706935,0.10776863,-0.51452696,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
844216000,844216000,0.8400779,0.12581871,0.10442858,-0.5172366,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
844716000,844716000,0.83861345,0.12519987,0.10147487,-0.52034175,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
845212000,845212000,0.8362402,0.12269926,0.10362837,-0.52431715,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
845716000,845716000,0.8348678,0.12436963,0.09997496,-0.5268142,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
846216000,846216000,0.83221775,0.123691596,0.098568626,-0.53141147,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
846716000,846716000,0.8303993,0.123608336,0.097144604,-0.53452885,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
847216000,847216000,0.8283389,0.1236282,0.0974709,-0.53765243,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
847716000,847716000,0.8250009,0.1243075,0.09558284,-0.5429411,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
848216000,848216000,0.82432795,0.12125682,0.09703942,-0.544393,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
848716000,848716000,0.82054305,0.123555034,0.09671217,-0.5496272,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
849216000,849216000,0.81893665,0.12080303,0.09878071,-0.55226064,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
849716000,849716000,0.81655914,0.11871646,0.09787061,-0.5563803,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
850216000,850216000,0.8144991,0.11914391,0.09993657,-0.55893546,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
850716000,850716000,0.8175318,0.060866755,0.05833029,-0.5696793,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
851216000,851216000,0.82326984,-0.05513633,-0.02265708,-0.5645117,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
851716000,851716000,0.8168552,-0.11290995,-0.07116593,-0.56119007,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
852216000,852216000,0.81770474,-0.09463329,-0.06717776,-0.5638181,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
852716000,852716000,0.8222954,-0.043726657,-0.057359427,-0.56447154,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
853216000,853216000,0.82772183,0.0039912127,-0.037039567,-0.55990064,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
853716000,853716000,0.8280347,0.0020198268,-0.03459287,-0.5596052,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
854212000,854212000,0.82834035,0.018260192,-0.0130966315,-0.55977446,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
854716000,854716000,0.8277608,0.021245217,0.0009463698,-0.56067795,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
855216000,855216000,0.8273706,0.019285835,0.008120499,-0.56126654,0.9998458,-6.176273e-10,-1.3537136e-09,0.017562326,5
