timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
829260000,829180000,0.00022599651,0.0031341915,0.00054796174,67109399,0,0.056077734,0.060122535,0.0041181417,0.010361561,0.0013524066,0.0027819204,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
829268000,829188000,0.00022361473,0.0029553657,0.0005465801,67109399,0,0.0560779,0.06012262,0.0041181417,0.010361561,0.0013524066,0.0027819204,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
829460000,829380000,0.00010878048,0.004002594,0.00025914205,67109399,0,0.056047417,0.06010234,0.00035576502,0.001963676,0.001288651,0.005644047,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
829660000,829580000,0.00019510172,0.004877361,0.00094035524,67109399,0,0.056061227,0.060073353,0.019945724,0.001963676,0.001288651,0.0009772903,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
829860000,829780000,2.6074824e-05,0.0042216876,0.0013582082,67109399,0,0.056031026,0.06005327,0.005396431,0.023561377,0.0014024678,0.0009546236,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
830060000,829980000,0.0001070642,0.0036305357,0.0014315788,67109399,0,0.056000914,0.06002439,0.007244817,0.0074508544,0.0013875559,0.0021760191,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
830260000,830180000,2.6681255e-05,0.002824194,0.0014245133,67109399,0,0.056004293,0.060021468,0.0043385937,0.01311015,0.0013552051,0.0032221824,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
830460000,830380000,4.140521e-05,0.0032819798,0.0016160156,67109399,0,0.055968747,0.0599987,0.0034891516,0.014901888,0.001404282,0.001290268,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
830660000,830580000,0.0001054506,0.0016893153,0.000730048,67109399,0,0.05593375,0.059967395,0.0054432657,0.0020490994,0.001318079,0.0011621132,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
830860000,830780000,0.00015494121,0.0031142049,0.0010805068,67109399,0,0.055943027,0.059945177,0.02090196,0.0020490994,0.001318079,0.003848138,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
831060000,830980000,0.00011483058,0.002427811,0.0009787928,67109399,0,0.055908907,0.059923183,0.0056359465,0.0042231777,0.0012850966,0.004147167,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
831260000,831180000,7.639665e-05,0.0035347454,0.0013946325,67109399,0,0.05591898,0.05989266,0.0072731976,0.0042231777,0.0012850966,0.0068933475,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
831460000,831380000,0.000104315666,0.0042464035,0.0017251611,67109399,0,0.055885714,0.059871133,0.012880903,0.004287775,0.0012615598,0.00052221015,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
831660000,831580000,0.0001116085,0.0045167,0.0018843564,67109399,0,0.055852924,0.059849825,0.0019300074,0.0042350027,0.0013386173,0.011418881,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
831860000,831780000,9.471811e-05,0.002859878,0.0015159323,67109399,0,0.05582055,0.059819978,0.013887927,0.0069963476,0.001315885,0.0004010296,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
832060000,831980000,9.184082e-05,0.004917353,0.0016155203,67109399,0,0.05578858,0.059799068,0.005946695,0.013087467,0.001360263,0.0023329463,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
832260000,832180000,9.906534e-05,0.0011925221,0.0006493652,67109399,0,0.055800367,0.059769623,0.005180859,0.013087467,0.001360263,0.0032117248,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
832460000,832380000,0.00013979927,0.0040958277,0.0010127476,67109399,0,0.055769026,0.059749067,0.005375836,0.0071139303,0.0012493186,0.0056937505,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197644,0,0,895,2,1,2,0,4,0,0,0,0,0,0,0
