timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
829792000,1694470181435612,0,416066999,-863556156,229267,229267,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.049999997,1.1643091,0,nan,nan,0.0,0,3,0,1,10
830624000,1694470182267612,0,416066999,-863556155,229270,229270,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.5005333,0,nan,nan,0.0,0,3,0,1,10
831820000,1694470183467612,0,416066999,-863556156,229273,229273,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,0.0,5.565506,0,nan,nan,0.0,0,3,0,1,10
832808000,1694470184455612,0,416066999,-863556156,229280,229280,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,2.0961404,0,nan,nan,0.0,0,3,0,1,10
833600000,1694470185243612,0,416067000,-863556156,229272,229272,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.03,0.0,-0.04,6.153158,0,nan,nan,0.0,0,3,0,1,10
834992000,1694470186635612,0,416067000,-863556155,229266,229266,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.02,-0.02,1.1102039,0,nan,nan,0.0,0,3,0,1,10
835824000,1694470187467612,0,416067000,-863556156,229271,229271,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,4.20188,0,nan,nan,0.0,0,3,0,1,10
836812000,1694470188459612,0,416066999,-863556156,229269,229269,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.049999997,1.7217673,0,nan,nan,0.0,0,3,0,1,10
837800000,1694470189447612,0,416066997,-863556157,229625,229625,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.049999997,-0.04,-0.049999997,-1.17,4.053004,0,nan,nan,0.0,0,3,0,1,10
838800000,1694470190443611,0,416066994,-863556160,230873,230873,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,-0.03,0.0,-0.82,3.1450832,0,nan,nan,0.0,0,3,0,1,10
839828000,1694470191475612,0,416066991,-863556159,231384,231384,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,-0.01,0.01,-0.28,2.322335,0,nan,nan,0.0,0,3,0,1,10
840816000,1694470192459612,0,416066990,-863556155,231467,231467,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,-0.04,0.02,0.08,2.6241024,0,nan,nan,0.0,0,3,0,1,10
841804000,1694470193451612,0,416066990,-863556128,231630,231630,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.68,0.089999996,0.65999997,-0.44,1.4227923,0,nan,nan,0.0,0,3,0,1,10
842792000,1694470194439612,0,416067003,-863555961,232227,232227,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.02,0.13,2.01,-0.66999996,1.5020303,0,nan,nan,0.0,0,3,0,1,10
843624000,1694470195271612,0,416067010,-863555731,232790,232790,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.45,0.04,2.46,-0.68,1.5538666,0,nan,nan,0.0,0,3,0,1,10
844820000,1694470196467612,0,416067003,-863555367,233537,233537,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.54,-0.08,2.53,-0.58,1.6043066,0,nan,nan,0.0,0,3,0,1,10
845812000,1694470197451612,0,416066993,-863555066,234140,234140,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.53,-0.11,2.54,-0.69,1.6158257,0,nan,nan,0.0,0,3,0,1,10
846604000,1694470198247612,0,416066986,-863554824,234644,234644,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.49,-0.08,2.48,-0.65999997,1.6048301,0,nan,nan,0.0,0,3,0,1,10
847992000,1694470199639612,0,416066981,-863554408,235608,235608,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.47,-0.01,2.48,-0.71999997,1.574985,0,nan,nan,0.0,0,3,0,1,10
848824000,1694470200471612,0,416066982,-863554159,236238,236238,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.48,0.01,2.48,-0.72999996,1.5660839,0,nan,nan,0.0,0,3,0,1,10
849812000,1694470201459612,0,416066982,-863553862,236976,236976,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.47,0.0,2.47,-0.75,1.5714945,0,nan,nan,0.0,0,3,0,1,10
850800000,1694470202443611,0,416066982,-863553572,237650,237650,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.25,0.0,2.25,-0.28,1.5748105,0,nan,nan,0.0,0,3,0,1,10
851800000,1694470203447612,0,416066972,-863553425,237394,237394,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.22,-0.22999999,-0.01,0.69,3.2042499,0,nan,nan,0.0,0,3,0,1,10
852828000,1694470204475612,0,416066950,-863553531,236764,236764,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.25,-0.14,-1.26,0.62,4.600862,0,nan,nan,0.0,0,3,0,1,10
853816000,1694470205463611,0,416066955,-863553648,236155,236155,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.77,0.22999999,-0.72999996,0.59,5.022534,0,nan,nan,0.0,0,3,0,1,10
854804000,1694470206451612,0,416066977,-863553708,235488,235488,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.34,0.22999999,-0.24,0.64,5.4733524,0,nan,nan,0.0,0,3,0,1,10
855792000,1694470207435612,0,416066992,-863553718,234822,234822,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.099999994,0.089999996,0.049999997,0.65,0.5030039,0,nan,nan,0.0,0,3,0,1,10
856624000,1694470208267612,0,416067012,-863553401,237258,237258,0.25,0.5,1.0,1.0,0.0,0.0,0,0,5.8399997,0.45,5.83,-3.6599998,1.4929546,0,nan,nan,0.0,0,3,0,1,10
857820000,1694470209467612,0,416067027,-863552535,240943,240943,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.62,-0.12,4.6,-1.5,1.5976744,0,nan,nan,0.0,0,3,0,1,10
858808000,1694470210455612,0,416066999,-863552170,241618,241618,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.9,-0.44,1.8199999,-0.29,1.8123498,0,nan,nan,0.0,0,3,0,1,10
859596000,1694470211243612,0,416066975,-863552089,241655,241655,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.29,-0.17999999,-0.21,0.13,4.0006437,0,nan,nan,0.0,0,3,0,1,10
860992000,1694470212635612,0,416066970,-863552168,241671,241671,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.31,0.099999994,-0.29,-0.16,5.045747,0,nan,nan,0.0,0,3,0,1,10
861824000,1694470213467612,0,416066980,-863552182,241770,241770,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.14999999,0.16,0.0,-0.08,6.2611938,0,nan,nan,0.0,0,3,0,1,10
862812000,1694470214459612,0,416066993,-863552176,241860,241860,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.11,0.07,0.06,-0.12,0.7326892,0,nan,nan,0.0,0,3,0,1,10
863800000,1694470215447612,0,416066996,-863552168,241960,241960,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.06,0.0,0.06,-0.089999996,1.6313592,0,nan,nan,0.0,0,3,0,1,10
864800000,1694470216443611,0,416066998,-863552164,242009,242009,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,0.01,0.01,-0.02,0.7244861,0,nan,nan,0.0,0,3,0,1,10
865828000,1694470217475612,0,416067000,-863552162,242028,242028,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,0.03,0.01,0.0,0.35098568,0,nan,nan,0.0,0,3,0,1,10
866816000,1694470218459612,0,416067001,-863552160,242005,242005,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.01,0.0,0.01,0.03,1.9156733,0,nan,nan,0.0,0,3,0,1,10
867804000,1694470219451612,0,416067000,-863552158,241930,241930,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,-0.01,0.02,3.6229544,0,nan,nan,0.0,0,3,0,1,10
868792000,1694470220439612,0,416066999,-863552160,241870,241870,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,-0.01,-0.01,0.04,3.8931313,0,nan,nan,0.0,0,3,0,1,10
869624000,1694470221271612,0,416066998,-863552162,241793,241793,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,-0.01,0.0,0.07,3.585779,0,nan,nan,0.0,0,3,0,1,10
870820000,1694470222467612,0,416066997,-863552167,241721,241721,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.04,-0.01,-0.03,0.02,4.335223,0,nan,nan,0.0,0,3,0,1,10
871808000,1694470223451612,0,416066995,-863552171,241660,241660,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,-0.04,-0.02,0.0,3.6498325,0,nan,nan,0.0,0,3,0,1,10
872596000,1694470224243612,0,416066994,-863552171,241618,241618,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.02,-0.02,0.0,0.06,2.997603,0,nan,nan,0.0,0,3,0,1,10
873992000,1694470225639612,0,416066991,-863552170,241574,241574,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.03,-0.01,0.04,0.04,1.9797269,0,nan,nan,0.0,0,3,0,1,10
