timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
829264000,829264000,0.84973097,0.0108763175,0.0024491092,-0.5270987,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829268000,829268000,0.8497277,0.010865336,0.0024408128,-0.5271043,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829272000,829272000,0.84972656,0.010848421,0.0024348947,-0.52710634,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829276000,829276000,0.84972584,0.010837593,0.0024327177,-0.5271079,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829280000,829280000,0.84972584,0.010829621,0.0024350137,-0.527108,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829284000,829284000,0.8497254,0.010816433,0.0024430621,-0.52710897,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829288000,829288000,0.8497244,0.010823946,0.0024338784,-0.52711046,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829292000,829292000,0.84972614,0.010835375,0.0024228438,-0.5271075,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829300000,829300000,0.849729,0.010761088,0.0024804848,-0.52710414,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829308000,829308000,0.84973216,0.010806158,0.0024383422,-0.5270983,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829312000,829312000,0.8497345,0.010797996,0.0024369399,-0.52709466,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829316000,829316000,0.8497348,0.010778944,0.0024473462,-0.52709454,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829320000,829320000,0.84973407,0.010768171,0.0024527623,-0.52709585,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829324000,829324000,0.8497323,0.010779057,0.0024466394,-0.5270986,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829332000,829332000,0.8497302,0.010795588,0.0024447746,-0.5271017,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829336000,829336000,0.8497289,0.010796853,0.0024561575,-0.5271038,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829340000,829340000,0.8497298,0.010791982,0.0024656667,-0.52710223,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829344000,829344000,0.8497342,0.010783948,0.0024678106,-0.52709544,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829352000,829352000,0.8497386,0.010791999,0.002465484,-0.52708805,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
829356000,829356000,0.84973896,0.010789249,0.0024720717,-0.5270875,0.9999784,8.8967245e-10,-8.430345e-11,-0.0065758377,4
