timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
829264000,0,0.81640893,-0.0018557959,-0.0021080333,-0.5774753,0.0,0.0,0.0,0.0,0
829268000,0,0.81640816,-0.001814643,-0.002137132,-0.5774764,0.0,0.0,0.0,0.0,0
829276000,0,0.8164081,-0.0018177012,-0.0021349401,-0.57747644,0.0,0.0,0.0,0.0,0
829284000,0,0.8164081,-0.0018204573,-0.0021329825,-0.57747644,0.0,0.0,0.0,0.0,0
829296000,0,0.81640774,-0.0018956799,-0.0020796536,-0.577477,0.0,0.0,0.0,0.0,0
829304000,0,0.81640863,-0.0017874063,-0.0021563265,-0.57747567,0.0,0.0,0.0,0.0,0
829316000,0,0.81640714,-0.0018410822,-0.0021180704,-0.5774778,0.0,0.0,0.0,0.0,0
829324000,0,0.8164082,-0.0017902426,-0.002154486,-0.57747626,0.0,0.0,0.0,0.0,0
829332000,0,0.8164087,-0.0017957784,-0.0021508492,-0.5774756,0.0,0.0,0.0,0.0,0
829344000,0,0.81640935,-0.0018468387,-0.002114622,-0.5774747,0.0,0.0,0.0,0.0,0
829356000,0,0.8164086,-0.0018080632,-0.0021422226,-0.5774758,0.0,0.0,0.0,0.0,0
829360000,0,0.81640935,-0.0018533438,-0.0021099807,-0.5774747,0.0,0.0,0.0,0.0,0
829372000,0,0.81640863,-0.0018140243,-0.0021379543,-0.5774757,0.0,0.0,0.0,0.0,0
829380000,0,0.8164087,-0.0018166052,-0.0021360505,-0.5774756,0.0,0.0,0.0,0.0,0
829396000,0,0.81640875,-0.0018548181,-0.0021088046,-0.57747555,0.0,0.0,0.0,0.0,0
829404000,0,0.81640863,-0.0018571529,-0.0021071213,-0.57747567,0.0,0.0,0.0,0.0,0
829412000,0,0.8164089,-0.0018592615,-0.0021057138,-0.57747537,0.0,0.0,0.0,0.0,0
829420000,0,0.816409,-0.0018616385,-0.0021041257,-0.57747513,0.0,0.0,0.0,0.0,0
829432000,0,0.8164084,-0.001820646,-0.0021331264,-0.577476,0.0,0.0,0.0,0.0,0
829440000,0,0.8164083,-0.0018086376,-0.0021413348,-0.5774762,0.0,0.0,0.0,0.0,0
829456000,0,0.8164079,-0.0018035244,-0.0021454124,-0.57747674,0.0,0.0,0.0,0.0,0
829464000,0,0.8164081,-0.0018061415,-0.0021435453,-0.5774765,0.0,0.0,0.0,0.0,0
829476000,0,0.81640905,-0.0018550624,-0.0021090077,-0.5774751,0.0,0.0,0.0,0.0,0
829484000,0,0.8164091,-0.0018576094,-0.00210721,-0.57747495,0.0,0.0,0.0,0.0,0
