timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
829260000,1,1,0,1,0,1,1,0,1,1,1,1,0
829764000,1,1,0,1,0,1,1,0,1,1,1,1,0
830268000,1,1,0,1,0,1,1,0,1,1,1,1,0
830376000,1,1,0,1,0,1,1,0,1,1,1,1,0
830880000,1,1,0,1,0,1,1,0,1,1,1,1,0
831384000,1,1,0,1,0,1,1,0,1,1,1,1,0
831888000,1,1,0,1,0,1,1,0,1,1,1,1,0
832396000,1,1,0,1,0,1,1,0,1,1,1,1,0
832900000,1,1,0,1,0,1,1,0,1,1,1,1,0
833284000,1,1,0,0,1,1,1,1,1,0,1,1,0
833788000,1,1,0,0,1,1,1,1,1,0,1,1,0
834292000,1,1,0,0,1,1,1,1,1,0,1,1,0
834796000,1,1,0,0,1,1,1,1,1,0,1,1,0
835288000,1,1,0,0,1,1,1,1,1,1,1,1,0
835792000,1,1,0,0,1,1,1,1,1,1,1,1,0
836296000,1,1,0,0,1,1,1,1,1,1,1,1,0
836800000,1,1,0,0,1,1,1,1,1,1,1,1,0
837304000,1,1,0,0,1,1,1,1,1,1,1,1,0
837808000,1,1,0,0,1,1,1,1,1,1,1,1,0
838312000,1,1,0,0,1,1,1,1,1,1,1,1,0
838816000,1,1,0,0,1,1,1,1,1,1,1,1,0
839324000,1,1,0,0,1,1,1,1,1,1,1,1,0
839828000,1,1,0,0,1,1,1,1,1,1,1,1,0
840152000,1,1,0,0,1,1,1,1,1,1,1,1,0
840200000,1,1,0,0,1,1,1,1,1,0,1,1,0
840284000,1,1,0,0,1,1,1,1,1,1,1,1,0
840788000,1,1,0,0,1,1,1,1,1,1,1,1,0
841292000,1,1,0,0,1,1,1,1,1,1,1,1,0
841796000,1,1,0,0,1,1,1,1,1,1,1,1,0
842300000,1,1,0,0,1,1,1,1,1,1,1,1,0
842804000,1,1,0,0,1,1,1,1,1,1,1,1,0
843308000,1,1,0,0,1,1,1,1,1,1,1,1,0
843812000,1,1,0,0,1,1,1,1,1,1,1,1,0
844316000,1,1,0,0,1,1,1,1,1,1,1,1,0
844820000,1,1,0,0,1,1,1,1,1,1,1,1,0
845324000,1,1,0,0,1,1,1,1,1,1,1,1,0
845828000,1,1,0,0,1,1,1,1,1,1,1,1,0
846332000,1,1,0,0,1,1,1,1,1,1,1,1,0
846836000,1,1,0,0,1,1,1,1,1,1,1,1,0
847340000,1,1,0,0,1,1,1,1,1,1,1,1,0
847844000,1,1,0,0,1,1,1,1,1,1,1,1,0
848348000,1,1,0,0,1,1,1,1,1,1,1,1,0
848852000,1,1,0,0,1,1,1,1,1,1,1,1,0
849356000,1,1,0,0,1,1,1,1,1,1,1,1,0
849860000,1,1,0,0,1,1,1,1,1,1,1,1,0
850268000,1,1,0,1,0,1,1,0,1,1,1,1,0
850772000,1,1,0,1,0,1,1,0,1,1,1,1,0
851276000,1,1,0,1,0,1,1,0,1,1,1,1,0
851780000,1,1,0,1,0,1,1,0,1,1,1,1,0
852284000,1,1,0,1,0,1,1,0,1,1,1,1,0
852788000,1,1,0,1,0,1,1,0,1,1,1,1,0
853292000,1,1,0,1,0,1,1,0,1,1,1,1,0
853796000,1,1,0,1,0,1,1,0,1,1,1,1,0
854300000,1,1,0,1,0,1,1,0,1,1,1,1,0
854804000,1,1,0,1,0,1,1,0,1,1,1,1,0
855308000,1,1,0,1,0,1,1,0,1,1,1,1,0
855644000,1,1,0,1,0,1,1,0,1,1,1,1,0
855656000,1,1,0,0,1,1,1,1,1,1,1,1,0
856160000,1,1,0,0,1,1,1,1,1,1,1,1,0
856664000,1,1,0,0,1,1,1,1,1,1,1,1,0
857168000,1,1,0,0,1,1,1,1,1,1,1,1,0
857672000,1,1,0,0,1,1,1,1,1,1,1,1,0
858176000,1,1,0,0,1,1,1,1,1,1,1,1,0
858680000,1,1,0,0,1,1,1,1,1,1,1,1,0
858824000,1,1,0,0,1,1,1,1,1,1,1,1,0
859328000,1,1,0,0,1,1,1,1,1,1,1,1,0
859832000,1,1,0,0,1,1,1,1,1,1,1,1,0
860336000,1,1,0,0,1,1,1,1,1,1,1,1,0
860840000,1,1,0,0,1,1,1,1,1,1,1,1,0
861344000,1,1,0,0,1,1,1,1,1,1,1,1,0
861848000,1,1,0,0,1,1,1,1,1,1,1,1,0
862352000,1,1,0,0,1,1,1,1,1,1,1,1,0
862856000,1,1,0,0,1,1,1,1,1,1,1,1,0
863360000,1,1,0,0,1,1,1,1,1,1,1,1,0
863864000,1,1,0,0,1,1,1,1,1,1,1,1,0
864368000,1,1,0,0,1,1,1,1,1,1,1,1,0
864872000,1,1,0,0,1,1,1,1,1,1,1,1,0
865376000,1,1,0,0,1,1,1,1,1,1,1,1,0
865880000,1,1,0,0,1,1,1,1,1,1,1,1,0
866384000,1,1,0,0,1,1,1,1,1,1,1,1,0
866888000,1,1,0,0,1,1,1,1,1,1,1,1,0
867392000,1,1,0,0,1,1,1,1,1,1,1,1,0
