timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
829220000,1694470180863612,416066999,-863556155,229273,229273,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.02,0.02,1.4343116,0,nan,nan,3,0,1,10,0
829428000,1694470181071612,416066999,-863556155,229264,229264,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.4580481,0,nan,nan,3,0,1,10,0
829792000,1694470181435612,416066999,-863556156,229267,229267,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.049999997,1.1643091,0,nan,nan,3,0,1,10,0
830000000,1694470181643612,416067000,-863556156,229267,229267,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,1.1972958,0,nan,nan,3,0,1,10,0
830208000,1694470181851611,416067000,-863556156,229267,229267,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.03,4.195597,0,nan,nan,3,0,1,10,0
830416000,1694470182059612,416067000,-863556156,229272,229272,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.02,0.01,4.5638614,0,nan,nan,3,0,1,10,0
830624000,1694470182267612,416066999,-863556155,229270,229270,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.5005333,0,nan,nan,3,0,1,10,0
831000000,1694470182647611,416067000,-863556156,229267,229267,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.6430529,0,nan,nan,3,0,1,10,0
831404000,1694470183051612,416067000,-863556156,229262,229262,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,4.780108,0,nan,nan,3,0,1,10,0
831612000,1694470183259611,416066999,-863556156,229266,229266,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,3.510206,0,nan,nan,3,0,1,10,0
831820000,1694470183467612,416066999,-863556156,229273,229273,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,0.0,5.565506,0,nan,nan,3,0,1,10,0
832028000,1694470183675612,416066999,-863556156,229269,229269,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.03,4.6715484,0,nan,nan,3,0,1,10,0
832392000,1694470184039611,416067000,-863556156,229265,229265,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.01,6.04966,0,nan,nan,3,0,1,10,0
832600000,1694470184247612,416067000,-863556156,229272,229272,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.049999997,0.1977458,0,nan,nan,3,0,1,10,0
832808000,1694470184455612,416066999,-863556156,229280,229280,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,2.0961404,0,nan,nan,3,0,1,10,0
833016000,1694470184663612,416066999,-863556156,229274,229274,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.01,5.1841516,0,nan,nan,3,0,1,10,0
833224000,1694470184871611,416066999,-863556156,229271,229271,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,2.73336,0,nan,nan,3,0,1,10,0
833600000,1694470185243612,416067000,-863556156,229272,229272,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.03,0.0,-0.04,6.153158,0,nan,nan,3,0,1,10,0
834004000,1694470185647611,416067000,-863556156,229271,229271,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.02,3.2128022,0,nan,nan,3,0,1,10,0
834212000,1694470185855612,416066999,-863556155,229273,229273,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.01,-0.02,0.6517059,0,nan,nan,3,0,1,10,0
834420000,1694470186063612,416066999,-863556155,229272,229272,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,6.2247167,0,nan,nan,3,0,1,10,0
834628000,1694470186271612,416067000,-863556155,229272,229272,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.04,5.4197707,0,nan,nan,3,0,1,10,0
