timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
1743177449789379,1743177449635217,1743177449277379,52.5148588,13.325424199999999,0,0.25,0.25,-0.0014365936,-0.0022059781,-0.00031527394,-0.00070812955,0.7502635,0.7502635,1.10030726e-07,2.5944695e-07,-1.641368e-08,-6.525279e-08,0,0,0
1743177449845379,1743177449687226,1743177449277379,52.5148588,13.325424199999999,0,0.25,0.25,-0.0014786954,-0.0022619718,-0.0004248888,-0.000854529,100.25009,100.25009,8.724342e-10,2.0415012e-09,-1.494942e-08,-5.929717e-08,0,0,0
1743177449893379,1743177449739237,1743177449277379,52.5148588,13.325424199999999,0,0.25,0.25,-0.0015028293,-0.0022717828,-0.00052645337,-0.000988064,100.25037,100.25037,9.0114205e-10,2.0592432e-09,-1.3625778e-08,-5.390416e-08,0,0,0
1743177449949379,1743177449791245,1743177449277379,52.5148588,13.325424199999999,0,0.25,0.25,-0.0015465346,-0.0023141392,-0.0006225614,-0.0011130015,100.250916,100.250916,9.543131e-10,2.1367346e-09,-1.2431923e-08,-4.9026838e-08,0,0,0
1743177449997379,1743177449843254,1743177449277379,52.5148588,13.325424199999999,0,0.25,0.25,-0.0015137129,-0.0024521654,-0.0007065236,-0.0012391744,100.25159,100.25159,9.142307e-10,2.3992102e-09,-1.1346753e-08,-4.463369e-08,0,0,0
1743177450053379,1743177449895261,1743177449901379,52.5148588,13.325424199999999,0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0,0,1
1743177450101379,1743177449947269,1743177449949379,52.5148588,13.325424199999999,0,0.25,0.25,1.075291e-05,-2.7419062e-05,1.0130965e-06,-2.583315e-06,0.7502075,0.7502075,6.1649652e-12,4.0085175e-11,5.8083855e-13,-3.776666e-12,0,0,1
1743177450157379,1743177449999276,1743177450005379,52.5148588,13.325424199999999,0,0.25,0.25,-1.6269756e-05,-2.3707626e-05,-6.1519677e-07,-4.5735287e-06,0.41690052,0.41690052,2.5397422e-11,5.392668e-11,-1.8666871e-12,-8.501519e-12,0,0,1
1743177450205379,1743177450051283,1743177450053379,52.5148588,13.325424199999999,0,0.25,0.25,-1.516724e-05,1.3477904e-05,-1.9862086e-06,-2.872824e-06,0.35025072,0.35025072,2.627206e-11,2.0745584e-11,-4.1660243e-12,-5.746021e-12,0,0,1
1743177450261379,1743177450103289,1743177450109379,52.5148588,13.325424199999999,0,0.25,0.25,-4.356183e-05,-0.00039583712,-5.9031618e-06,-3.989507e-05,0.3217622,0.3217622,2.3590505e-10,1.947861e-08,-2.5998793e-11,-1.840338e-09,0,0,1
1743177450309379,1743177450155295,1743177450157379,52.5148588,13.325424199999999,0,0.25,0.25,-7.024756e-05,-0.0003579517,-1.1965224e-05,-6.9860056e-05,0.30592522,0.30592522,6.452191e-10,1.675304e-08,-8.433723e-11,-3.2453045e-09,0,0,1
1743177450365379,1743177450207300,1743177450213379,52.5148588,13.325424199999999,0,0.25,0.25,-9.689775e-05,-0.00038585713,-1.996681e-05,-9.963049e-05,0.29591164,0.2959116,1.2691862e-09,2.01257e-08,-1.9596316e-10,-4.8356252e-09,0,0,1
1743177450413379,1743177450259305,1743177450261379,52.5148588,13.325424199999999,0,0.25,0.25,-9.752684e-05,-0.00039866567,-2.7273827e-05,-0.00012780292,0.28896096,0.2889609,1.3166463e-09,2.2000807e-08,-3.0154396e-10,-6.452776e-09,0,0,1
1743177450469379,1743177450311309,1743177450317379,52.5148588,13.325424199999999,0,0.25,0.25,-0.00016146213,-0.00042304868,-3.9915634e-05,-0.00015561786,0.2839257,0.28392562,3.6727945e-09,2.5213671e-08,-6.191477e-10,-8.22023e-09,0,0,1
1743177450517379,1743177450363314,1743177450365379,52.5148588,13.325424199999999,0,0.25,0.25,-0.0001878038,-0.00041522237,-5.3848344e-05,-0.00018007548,0.28005144,0.28005132,5.037684e-09,2.462543e-08,-1.0354229e-09,-9.765782e-09,0,0,1
1743177450573379,1743177450415318,1743177450421379,52.5148588,13.325424199999999,0,0.25,0.25,-0.000589446,-0.00043632794,-0.00010430672,-0.00020421689,0.27705503,0.27705482,5.016283e-08,2.7486557e-08,-5.663689e-09,-1.14352465e-08,0,0,1
1743177450621379,1743177450467322,1743177450469379,52.5148588,13.325424199999999,0,0.25,0.25,-0.0005767923,-0.00046014602,-0.00014881932,-0.00022832784,0.27460033,0.2746001,4.8461608e-08,3.084258e-08,-9.695658e-09,-1.3263601e-08,0,0,1
1743177450677379,1743177450519326,1743177450525379,52.5148588,13.325424199999999,0,0.25,0.25,-0.0006172378,-0.0004511397,-0.00019294878,-0.00024931884,0.27263665,0.27263632,5.5896013e-08,2.9860587e-08,-1.4048169e-08,-1.4827194e-08,0,0,1
1743177450725379,1743177450571329,1743177450573379,52.5148588,13.325424199999999,0,0.25,0.25,-0.00062712707,-0.0008238535,-0.00023385177,-0.00030344448,0.27095217,0.2709518,5.806019e-08,1.0020005e-07,-1.8194445e-08,-2.2869983e-08,0,0,1
1743177450781379,1743177450623332,1743177450629379,52.5148588,13.325424199999999,0,0.25,0.25,-0.0006140248,-0.00079025264,-0.00026966704,-0.00034930563,0.269583,0.26958254,5.594218e-08,9.266168e-08,-2.1750576e-08,-2.9444907e-08,0,0,1
1743177450829379,1743177450675335,1743177450677379,52.5148588,13.325424199999999,0,0.25,0.25,-0.0006053177,-0.00075989915,-0.00030128795,-0.00038798674,0.2683619,0.2683614,5.461424e-08,8.607001e-08,-2.484659e-08,-3.4779433e-08,0,0,1
1743177450885379,1743177450727338,1743177450733379,52.5148588,13.325424199999999,0,0.25,0.25,-0.00063076016,-0.00071229896,-0.0003323268,-0.00041853948,0.26736638,0.2673658,5.9522574e-08,7.5906456e-08,-2.811334e-08,-3.865392e-08,0,0,1
1743177450933379,1743177450779341,1743177450781379,52.5148588,13.325424199999999,0,0.25,0.25,-0.00059002964,-0.00065150287,-0.00035660443,-0.00044048644,0.26644462,0.26644403,5.226376e-08,6.372159e-08,-3.03885e-08,-4.101549e-08,0,0,1
1743177450989379,1743177450831343,1743177450837379,52.5148588,13.325424199999999,0,0.25,0.25,-0.00056989,-0.0006122853,-0.00037669725,-0.00045667097,0.26569754,0.26569688,4.8893888e-08,5.643924e-08,-3.2131823e-08,-4.2468503e-08,0,0,1
1743177451037379,1743177450883346,1743177450885379,52.5148588,13.325424199999999,0,0.25,0.25,-0.0005358009,-0.0005498705,-0.00039168604,-0.0004654511,0.26497948,0.26497883,4.3336573e-08,4.5642523e-08,-3.3187398e-08,-4.276752e-08,0,0,1
1743177451093379,1743177450935348,1743177450941379,52.5148588,13.325424199999999,0,0.25,0.25,-0.00051197555,-0.0005031403,-0.00040301806,-0.00046900165,0.26440632,0.26440564,3.9653962e-08,3.8297244e-08,-3.379659e-08,-4.2346393e-08,0,0,1
1743177451141379,1743177450987350,1743177450989379,52.5148588,13.325424199999999,0,0.25,0.25,-0.00049157016,-0.0004772843,-0.0004113602,-0.00046978192,0.26383263,0.26383197,3.6635534e-08,3.453718e-08,-3.4064033e-08,-4.161072e-08,0,0,1
1743177451197379,1743177451039351,1743177451045379,52.5148588,13.325424199999999,0,0.25,0.25,-0.00041749896,-0.00046257954,-0.0004119385,-0.00046910343,0.2633844,0.26338372,2.6471634e-08,3.249705e-08,-3.3348794e-08,-4.075217e-08,0,0,1
1743177451245379,1743177451091353,1743177451093379,52.5148588,13.325424199999999,0,0.25,0.25,-0.0004063494,-0.00043718613,-0.00041141198,-0.00046609662,0.26291648,0.26291582,2.5121262e-08,2.9078768e-08,-3.257371e-08,-3.9652463e-08,0,0,1
1743177451301379,1743177451143355,1743177451149379,52.5148588,13.325424199999999,0,0.25,0.25,-0.00041213425,-0.0003775712,-0.00041148002,-0.00045775698,0.2625618,0.2625611,2.587652e-08,2.1718375e-08,-3.1942793e-08,-3.796296e-08,0,0,1
1743177451349379,1743177451195357,1743177451197379,52.5148588,13.325424199999999,0,0.25,0.25,-0.00041397533,-0.000348384,-0.0004117151,-0.00044745338,0.26217347,0.26217282,2.6146896e-08,1.8517772e-08,-3.1396784e-08,-3.61311e-08,0,0,1
1743177451405379,1743177451247358,1743177451253379,52.5148588,13.325424199999999,0,0.25,0.25,-0.00035657908,-0.00027449982,-0.00040652102,-0.00043116036,0.26188937,0.2618887,1.9420206e-08,1.1508728e-08,-3.0268534e-08,-3.3811563e-08,0,0,1
1743177451453379,1743177451299359,1743177451301379,52.5148588,13.325424199999999,0,0.25,0.25,-0.00035807042,-0.00027495454,-0.00040195676,-0.00041644505,0.26156235,0.26156172,1.9607475e-08,1.1561324e-08,-2.9264214e-08,-3.171549e-08,0,0,1
1743177451509379,1743177451351361,1743177451357379,52.5148588,13.325424199999999,0,0.25,0.25,-0.0003201406,-0.00024998843,-0.00039424916,-0.00040076382,0.26133367,0.26133305,1.5687224e-08,9.5654515e-09,-2.7985177e-08,-2.962882e-08,0,0,1
