timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
1743177449797379,1743177449645379,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1743177450053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177451053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177452053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177453053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177454053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177455053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177456053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177457053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177458053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177459053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177460053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177461053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177462053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177463053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177464053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177465053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177466053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177467053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177468053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177469053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177470053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177471053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177472053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177473053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177474053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177475053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177476053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1743177477053379,1743177449901379,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
