timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
1743177450193379,1743177450193379,1310988,1310988,-1.0652009e-06,4.90022e-05,3.5153687e-05,7.182605e-05,0.00019153682,-0.039135627,4000,4000,0,0,0,1
1743177450693379,1743177450693379,1310988,1310988,-3.195809e-06,4.374032e-11,-1.9174759e-05,-0.00014844052,-0.00023463111,-0.039207447,4000,4000,0,0,0,1
1743177451193379,1743177451193379,1310988,1310988,9.587414e-06,-7.4568165e-06,1.9174759e-05,0.0001436521,0.00015322962,-0.0393511,4000,4000,0,0,0,1
1743177451693379,1743177451693379,1310988,1310988,-1.0653182e-06,7.456859e-06,-3.515373e-05,2.3942019e-05,0.00013886439,-0.039193086,4000,4000,0,0,0,1
1743177452193379,1743177452193379,1310988,1310988,-2.1305766e-06,-4.0480074e-05,-2.5566307e-05,-5.2672436e-05,0.00015322962,-0.03914042,4000,4000,0,0,0,1
1743177452693379,1743177452693379,1310988,1310988,-2.1305032e-06,3.5153735e-05,8.522105e-06,0.00019153614,-0.00029688037,-0.039293647,4000,4000,0,0,0,1
1743177453193379,1743177453193379,1310988,1310988,-9.587408e-06,1.3848437e-05,1.5978954e-05,9.097968e-05,1.4365891e-05,-0.03896324,4000,4000,0,0,0,1
1743177453693379,1743177453693379,1310988,1310988,-3.4088458e-05,-1.9174808e-05,-6.3915127e-06,4.3095635e-05,-9.5767384e-05,-0.039499544,4000,4000,0,0,0,1
1743177454193379,1743177454193379,1310988,1310988,-8.522056e-06,4.261005e-06,3.3023225e-05,-0.00019632453,-4.788335e-05,-0.039279275,4000,4000,0,0,0,1
1743177454693379,1743177454693379,1310988,1310988,-6.3915845e-06,2.5566353e-05,1.4913702e-05,7.6614466e-05,-0.00017717024,-0.039149992,4000,4000,0,0,0,1
1743177455193379,1743177455193379,1310988,1310988,2.1305228e-05,-1.17179125e-05,-2.0240088e-05,0.0001388637,-0.00016280502,-0.03923139,4000,4000,0,0,0,1
1743177455693379,1743177455693379,1310988,1310988,-4.9002192e-05,5.1132676e-05,-2.876215e-05,-8.619127e-05,0.00025378607,-0.039279275,4000,4000,0,0,0,1
1743177456193379,1743177456193379,1310988,1310988,-3.408846e-05,-1.7044249e-05,4.26107e-06,5.267244e-05,0.00033040054,-0.039279275,4000,4000,0,0,0,1
1743177456693379,1743177456693379,1310988,1310988,-2.7696937e-05,3.6219088e-05,5.1132603e-05,0.00016759415,0.00038786136,-0.039245754,4000,4000,0,0,0,1
1743177457193379,1743177457193379,1310988,1310988,3.1957952e-05,-1.5978932e-05,-7.456855e-06,0.00019632453,0.00031124693,-0.03921224,4000,4000,0,0,0,1
1743177457693379,1743177457693379,1310988,1310988,2.7696939e-05,3.8349466e-05,-4.261151e-06,-6.2249244e-05,0.00042138022,-0.039183512,4000,4000,0,0,0,1
1743177458193379,1743177458193379,1310988,1310988,-0.00019600836,0.0001917479,2.3436087e-05,7.6614466e-05,6.224999e-05,-0.042181052,4000,4000,0,0,0,1
1743177458693379,1743177458693379,1310988,1310988,-0.000112918045,5.219795e-05,6.391715e-06,0.00013407531,-0.00011013247,-0.047323793,4000,4000,0,0,0,1
1743177459193379,1743177459193379,1310988,1310988,-6.39159e-05,2.6631586e-05,-1.2783078e-05,-7.6614466e-05,-0.00016759323,-0.052217543,4000,4000,0,0,0,1
1743177459693379,1743177459693379,1310988,1310988,1.1717967e-05,3.7284233e-05,2.1305297e-05,-5.746084e-05,0.00023463249,-0.040356673,4000,4000,0,0,0,1
1743177460193379,1743177460193379,1310988,1310988,2.450112e-05,-8.52203e-06,-1.384843e-05,-0.00019153614,-0.0002394195,-0.040193856,4000,4000,0,0,0,1
1743177460693379,1743177460693379,1310988,1310988,8.9482164e-05,-0.00010439586,-3.941507e-05,-0.00072304904,-0.0008954308,-0.03965756,4000,4000,0,0,0,1
1743177461193379,1743177461193379,1310988,1310988,0.00037390762,-0.0003408849,8.5215615e-06,-0.0024756046,-0.0023702595,-0.039466023,4000,4000,0,0,0,1
1743177461693379,1743177461693379,1310988,1310988,0.0003291664,-0.00028229554,-8.521599e-06,-0.0031172505,-0.0032944214,-0.039140414,4000,4000,0,0,0,1
1743177462193379,1743177462193379,1310988,1310988,0.00010652662,-0.00014700639,-6.1785395e-05,-0.003428497,-0.003505111,-0.03921224,4000,4000,0,0,0,1
