timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check,at_rest
21725852000,0,1,1,1,1,1,1,0,0,1,1
21726852000,0,1,1,1,1,1,1,0,0,1,1
21727852000,0,1,1,1,1,1,1,0,0,1,1
21728852000,0,1,1,1,1,1,1,0,0,1,1
21729852000,0,1,1,1,1,1,1,0,0,1,1
21730292000,0,1,1,1,0,0,1,0,0,1,1
21731292000,0,1,1,1,0,0,1,0,0,1,1
21732292000,0,1,1,1,0,0,1,0,0,1,1
21732332000,0,1,1,1,1,0,1,0,0,1,1
21733100000,0,1,0,0,1,0,1,0,0,1,0
21733108000,0,0,0,0,1,0,1,0,0,1,0
21734108000,0,0,0,0,1,0,0,0,0,1,0
21735108000,0,0,0,0,1,0,0,1,0,1,0
21736108000,0,0,0,0,1,0,0,1,0,1,0
21736124000,0,0,0,0,0,0,0,1,0,1,0
21737124000,0,0,0,0,0,0,0,1,0,1,0
21738124000,0,0,0,0,0,0,0,0,0,1,0
21739124000,0,0,0,0,0,0,0,1,0,1,0
21740124000,0,0,0,0,0,0,0,1,1,1,0
21741124000,0,0,0,0,0,0,0,1,1,1,0
21742124000,0,0,0,0,0,0,0,1,1,1,0
21743124000,0,0,0,0,0,0,0,1,1,1,0
21744124000,0,0,0,0,0,0,0,1,1,1,0
21745124000,0,0,0,0,0,0,0,1,1,1,0
21746124000,0,0,0,0,0,0,0,1,1,1,0
21747124000,0,0,0,0,0,0,0,1,1,1,0
21748124000,0,0,0,0,0,0,0,1,1,1,0
21749124000,0,0,0,0,0,0,0,1,1,1,0
21750124000,0,0,0,0,0,0,0,1,1,1,0
21751124000,0,0,0,0,0,0,0,1,1,1,0
21752124000,0,0,0,0,0,0,0,1,1,1,0
21753124000,0,0,0,0,0,0,0,1,1,1,0
21754124000,0,0,0,0,0,0,0,1,1,1,0
21755124000,0,0,0,0,0,0,0,1,1,1,0
21756124000,0,0,0,0,0,0,0,1,1,1,0
21757124000,0,0,0,0,0,0,0,1,1,1,0
21758124000,0,0,0,0,0,0,0,1,1,1,0
21759124000,0,0,0,0,0,0,0,1,1,1,0
21760124000,0,0,0,0,0,0,0,1,1,1,0
21761124000,0,0,0,0,0,0,0,1,1,1,0
21762124000,0,0,0,0,0,0,0,1,1,1,0
21763124000,0,0,0,0,0,0,0,1,1,1,0
21764124000,0,0,0,0,0,0,0,1,1,1,0
21765124000,0,0,0,0,0,0,0,1,1,1,0
21766124000,0,0,0,0,0,0,0,1,1,1,0
21767124000,0,0,0,0,0,0,0,1,1,1,0
21768124000,0,0,0,0,0,0,0,1,1,1,0
21769124000,0,0,0,0,0,0,0,1,1,1,0
21770124000,0,0,0,0,0,0,0,1,1,1,0
21771124000,0,0,0,0,0,0,0,1,1,1,0
21772124000,0,0,0,0,0,0,0,1,1,1,0
21773124000,0,0,0,0,0,0,0,1,1,1,0
21774124000,0,0,0,0,0,0,0,1,1,1,0
21775124000,0,0,0,0,0,0,0,1,1,1,0
21776124000,0,0,0,0,0,0,0,1,1,1,0
21777124000,0,0,0,0,0,0,0,1,1,1,0
21778124000,0,0,0,0,0,0,0,1,1,1,0
21779124000,0,0,0,0,0,0,0,1,1,1,0
21780124000,0,0,0,0,0,0,0,1,1,1,0
21781124000,0,0,0,0,0,0,0,1,1,1,0
21782124000,0,0,0,0,0,0,0,1,1,1,0
21783124000,0,0,0,0,0,0,0,1,1,1,0
21784124000,0,0,0,0,0,0,0,1,1,1,0
21785124000,0,0,0,0,0,0,0,1,1,1,0
21786124000,0,0,0,0,0,0,0,1,1,1,0
21787124000,0,0,0,0,0,0,0,1,1,1,0
21788124000,0,0,0,0,0,0,0,1,1,1,0
21789124000,0,0,0,0,0,0,0,1,1,1,0
21790124000,0,0,0,0,0,0,0,1,1,1,0
21791124000,0,0,0,0,0,0,0,1,1,1,0
21792124000,0,0,0,0,0,0,0,1,1,1,0
21793124000,0,0,0,0,0,0,0,1,1,1,0
21794124000,0,0,0,0,0,0,0,1,1,1,0
21795124000,0,0,0,0,0,0,0,1,1,1,0
21796124000,0,0,0,0,0,0,0,1,1,1,0
21797124000,0,0,0,0,0,0,0,1,1,1,0
21798124000,0,0,0,0,0,0,0,1,1,1,0
21799124000,0,0,0,0,0,0,0,1,1,1,0
21800124000,0,0,0,0,0,0,0,1,1,1,0
21801124000,0,0,0,0,0,0,0,1,1,1,0
21802124000,0,0,0,0,0,0,0,1,1,1,0
21803124000,0,0,0,0,0,0,0,1,1,1,0
21804124000,0,0,0,0,0,0,0,1,1,1,0
21805124000,0,0,0,0,0,0,0,1,1,1,0
21806124000,0,0,0,0,0,0,0,1,1,1,0
21807124000,0,0,0,0,0,0,0,1,1,1,0
21808124000,0,0,0,0,0,0,0,1,0,1,0
21808612000,0,0,0,0,1,1,0,1,0,1,0
21809340000,0,0,0,0,0,1,0,1,1,1,0
21810340000,0,0,0,0,0,1,0,1,1,1,0
21810764000,0,0,0,0,1,1,0,1,0,1,0
21811764000,0,0,0,0,1,1,0,1,0,1,0
21812764000,0,0,0,0,1,1,0,1,0,1,0
21813764000,0,0,0,0,1,1,0,1,0,1,0
21814764000,0,0,0,0,1,1,0,1,0,1,0
21815764000,0,0,0,0,1,1,0,1,0,1,0
21816764000,0,0,0,0,1,1,0,1,0,1,0
21817764000,0,0,0,0,1,1,0,1,0,1,0
21818764000,0,0,0,0,1,1,0,1,0,1,0
21819764000,0,0,0,0,1,1,0,1,0,1,0
21820764000,0,0,0,0,1,1,0,1,0,1,0
21821764000,0,0,0,0,1,1,0,1,0,1,0
21822764000,0,0,0,0,1,1,0,1,0,1,0
21823764000,0,0,0,0,1,1,0,1,0,1,0
21824764000,0,0,0,0,1,1,0,1,0,1,0
21825764000,0,0,0,0,1,1,0,1,0,1,0
21826764000,0,0,0,0,1,1,0,1,0,1,0
21827764000,0,0,0,0,1,1,0,1,0,1,0
21828764000,0,0,0,0,1,1,0,1,0,1,0
21829764000,0,0,0,0,1,1,0,1,0,1,0
21830764000,0,0,0,0,1,1,0,1,0,1,0
21831764000,0,0,0,0,1,1,0,1,0,1,0
21832764000,0,0,0,0,1,1,0,1,0,1,0
21833764000,0,0,0,0,1,1,0,1,0,1,0
21834764000,0,0,0,0,1,1,0,1,0,1,0
21835764000,0,0,0,0,1,1,0,1,0,1,0
21836764000,0,0,0,0,1,1,0,1,0,1,0
21837764000,0,0,0,0,1,1,0,1,0,1,0
21838764000,0,0,0,0,1,1,0,1,0,1,0
21839764000,0,0,0,0,1,1,0,1,0,1,0
21840764000,0,0,0,0,1,1,0,1,0,1,0
21841764000,0,0,0,0,1,1,0,1,0,1,0
21842764000,0,0,0,0,1,1,0,1,0,1,0
21843764000,0,0,0,0,1,1,0,1,0,1,0
21844764000,0,0,0,0,1,1,0,1,0,1,0
21845764000,0,0,0,0,1,1,0,1,0,1,0
21846764000,0,0,0,0,1,1,0,1,0,1,0
21847764000,0,0,0,0,1,1,0,1,0,1,0
21848764000,0,0,0,0,1,1,0,1,0,1,0
21849764000,0,0,0,0,1,1,0,1,0,1,0
21850764000,0,0,0,0,1,1,0,1,0,1,0
