timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
1743177449789379,1743177449635217,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.005080079,-0.0067109345,0.009036697,-0.0020978858,-0.0049051293,0.0034798174,0.09357157,0.09357158,0.20580223,1.103207e-05,1.9252275e-05,1.5871918e-05,-3.0257693e-06,-1.7966113e-05,6.6524663e-06,0,0,0
1743177449845379,1743177449687226,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.00012742942,9.819325e-05,0.008548535,-0.001912234,-0.004433728,0.00395738,0.1299751,0.1299751,0.20592932,4.997344e-09,2.9673113e-09,1.41946675e-05,-2.7411593e-06,-1.6273108e-05,7.363075e-06,0,0,0
1743177449893379,1743177449739237,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0008236046,-0.00046510436,0.008931547,-0.0018096623,-0.0040598004,0.004426051,0.13006333,0.13006333,0.20628472,2.0861361e-07,6.652823e-08,1.5468435e-05,-2.5025404e-06,-1.4746109e-05,8.12677e-06,0,0,0
1743177449949379,1743177449791245,0,0,0.01,0.0,0.0,0.09,0.09,0.20250002,-0.010119184,-0.0005455203,0.009587742,-0.0025925525,-0.003728699,0.004912365,0.1302145,0.13021448,0.20672087,3.145514e-05,9.141606e-08,1.7787233e-05,-5.2303394e-06,-1.3365402e-05,9.03694e-06,0,0,0
1743177449997379,1743177449843254,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,0.0001934056,-0.00231804,0.011058018,-0.002330066,-0.00359579,0.0054913945,0.13036598,0.13036597,0.20711263,1.1477144e-08,1.6486847e-06,2.361609e-05,-4.7364674e-06,-1.226148e-05,1.0410554e-05,0,0,0
1743177450053379,1743177449895261,1743177449901379,0,0.0,0.0,0.0,0.09,0.09,0.20250002,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.20250002,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
1743177450101379,1743177449947269,1743177449949379,0,0.0,0.0,0.0,0.09,0.09,0.20250002,0.0005617634,-0.0007208946,0.00022276491,5.2927116e-05,-6.791983e-05,2.0988025e-05,0.18022662,0.18022661,0.40505156,7.0040294e-08,1.1534124e-07,4.900532e-09,6.5989183e-09,-1.0866993e-08,4.6170864e-10,0,0,1
1743177450157379,1743177449999276,1743177450005379,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0012443964,-0.0010585665,0.00070008636,-6.929941e-05,-0.00016125299,8.496885e-05,0.1355534,0.13555315,0.3037929,4.569483e-07,3.3066382e-07,6.453356e-08,-3.7073896e-08,-4.0996454e-08,6.498198e-09,0,0,1
1743177450205379,1743177450051283,1743177450053379,0,0.0,-0.01,0.0,0.09,0.09,0.20250002,-0.0009933694,0.010060728,0.0013952181,-0.00015636008,0.0008018046,0.00020841317,0.12084596,0.12084421,0.27000955,3.26625e-07,3.350371e-05,2.8837997e-07,-6.435377e-08,3.1193974e-06,3.3055514e-08,0,0,1
1743177450261379,1743177450103289,1743177450109379,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0016716783,-0.0038468204,0.0011638653,-0.00029912236,0.0003638449,0.00029842893,0.11390059,0.11389736,0.2531336,9.81385e-07,5.196969e-06,2.1405022e-07,-1.507498e-07,2.3358898e-06,5.0107523e-08,0,0,1
