timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
1743177450401379,4000000.0,1.0,12750.001,0.0,417,0,20.916336,6,0,0,0,0,0.0,0,0,0,1,1,1,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177451261379,4000000.0,1.0,20244.025,0.0,812,0,648.4064,36,0,0,0,0,0.0,0,0,0,1,1,1,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177452717379,4000000.0,1.0,17201.195,0.0,1378,0,220.11952,67,0,0,0,0,0.0,0,0,0,1,1,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177453445379,4000000.0,1.0,18402.39,0.0,1656,0,457.17133,69,0,0,0,0,0.0,0,0,0,1,1,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177454277379,4000000.0,1.0,17059.762,0.0,1970,0,64.741035,71,0,0,0,0,0.0,0,0,0,1,1,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177455057379,4000000.0,1.0,17592.63,0.0,2273,0,64.741035,73,0,0,0,0,0.0,0,0,0,1,1,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177456513379,4000000.0,1.0,17101.594,0.0,2811,0,129.48207,77,0,0,0,0,0.0,0,0,0,1,1,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177457345379,4000000.0,1.0,17551.793,0.0,3130,0,64.741035,79,0,0,0,0,0.0,0,0,0,1,1,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177458177379,4000000.0,1.0,17130.479,0.0,3444,0,20.916336,80,0,0,0,0,0.0,0,0,0,1,1,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177459717379,4000000.0,1.0,17609.562,0.0,4025,0,111.55379,84,0,0,0,0,0.0,0,0,0,1,1,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177460473379,4000000.0,1.0,17170.32,0.0,4307,0,64.741035,86,0,0,0,0,0.0,0,0,0,1,1,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177461297379,4000000.0,1.0,17325.697,0.0,4625,0,64.741035,88,0,0,0,0,0.0,0,0,0,1,1,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177462077379,4000000.0,1.0,17227.092,0.0,4918,0,41.832672,89,0,0,0,0,0.0,0,0,0,1,1,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177463637379,4000000.0,1.0,17329.682,0.0,5499,0,20.916336,91,0,0,0,0,0.0,0,0,0,1,1,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177464417379,4000000.0,1.0,17138.447,0.0,5791,0,20.916336,92,0,0,0,0,0.0,0,0,0,1,1,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177465249379,4000000.0,1.0,17378.486,0.0,6108,0,20.916336,93,0,0,0,0,0.0,0,0,0,1,1,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177466757379,4000000.0,1.0,17077.69,0.0,6665,0,41.832672,95,0,0,0,0,0.0,0,0,0,1,1,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177467497379,4000000.0,1.0,17474.104,0.0,6949,0,20.916336,96,0,0,0,0,0.0,0,0,0,1,1,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743177468317379,4000000.0,1.0,17100.598,0.0,7257,0,20.916336,97,0,0,0,0,0.0,0,0,0,1,1,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
