timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
1743177449453379,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177449957379,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177450461379,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177450485379,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177450989379,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177451073379,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177451577379,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177452033379,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177452537379,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177453041379,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177453545379,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177454049379,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177454529379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177454541379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177454553379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177455057379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177455561379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177456029379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177456533379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177457037379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177457541379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177458045379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177458489379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177458501379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177459005379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177459509379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177460013379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177460025379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177460529379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177461033379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177461537379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177462041379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177462545379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177463049379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177463553379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177464057379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177464561379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177465065379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177465569379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177466073379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177466577379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177467081379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177467585379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177468089379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177468593379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177469097379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177469601379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177470105379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177470609379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177471113379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177471617379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177472121379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177472625379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177473129379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177473633379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177474137379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177474641379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177475145379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177475649379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177476153379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177476657379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177477161379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177477665379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177478169379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177478673379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177479177379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177479681379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177480185379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177480689379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177481193379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177481697379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177482201379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177482705379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177483209379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177483713379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177484217379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177484721379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177485225379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177485729379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177486233379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177486737379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177487241379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177487745379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177488249379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177488753379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177489257379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177489761379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177490265379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177490769379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177491273379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177491777379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177492281379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177492785379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1743177493289379,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
